hou den 11/29/2023,401584891
den lac 11/27/2023,401584885
sas den 11/26/2023,401584880
den hou 11/24/2023,401584136
den orl 11/22/2023,401584854
den det 11/20/2023,401584846
den cle 11/19/2023,401584838
den nop 11/17/2023,401584122
lac den 11/14/2023,401584112
den hou 11/12/2023,401584810
gsw den 11/8/2023,401584797
nop den 11/6/2023,401584784
chi den 11/4/2023,401584767
dal den 11/3/2023,401584094
den min 11/1/2023,401584751
utah den 10/30/2023,401584738
den okc 10/29/2023,401584723
den mem 10/27/2023,401584706
sac den 4/9/2023,401469382
den utah 4/8/2023,401469368
den phx 4/6/2023,401469356
den hou 4/4/2023,401469338
gsw den 4/2/2023,401469330
den phx 3/31/2023,401469315
den bkn 3/19/2023,401469218
bkn den 3/12/2023,401469169
den sas 3/10/2023,401469157
chi den 3/8/2023,401469144
tor den 3/6/2023,401469130
mem den 3/3/2023,401469107
den hou 2/28/2023,401469081
lac den 2/26/2023,401469073
den mem 2/25/2023,401469062
den cle 2/23/2023,401469041
dal lac 2/8/2023,401468984
lac bkn 2/6/2023,401468965
lac nyk 2/4/2023,401468950
lac mil 2/2/2023,401468939
lac chi 1/31/2023,401468921
lac atl 1/28/2023,401468900
sas lac 1/26/2023,401468890
lac dal 1/22/2023,401468856
lac sas 1/20/2023,401468842
lac utah 1/18/2023,401468830
phi lac 1/17/2023,401468823
hou lac 1/15/2023,401468804
atl lac 1/8/2023,401468759
lac min 1/6/2023,401468742
lac den 1/5/2023,401468734
lac ind 12/31/2022,401468693
lac bos 12/29/2022,401468680
lac tor 12/27/2022,401468664
lac det 12/26/2022,401468654
lac phi 12/23/2022,401468635
cha lac 12/21/2022,401468631
min lac 12/14/2022,401468578
bos lac 12/12/2022,401468563
lac orl 12/7/2022,401468518
lac cha 12/5/2022,401468507
sac lac 12/3/2022,401468493
lac utah 11/30/2022,401468477
lac por 11/29/2022,401468466
ind lac 11/27/2022,401468447
den lac 11/25/2022,401468440
lac gsw 11/23/2022,401468426
utah lac 11/21/2022,401468410
sas lac 11/19/2022,401468394
det lac 11/17/2022,401468378
lac dal 11/15/2022,401468362
lac hou 11/14/2022,401468358
bkn lac 11/12/2022,401468339
cle lac 11/7/2022,401468313
utah lac 11/6/2022,401468298
lac sas 11/4/2022,401468281
lac hou 11/2/2022,401468267
hou lac 10/31/2022,401468257
nop lac 10/30/2022,401468243
lac okc 10/27/2022,401468222
lac okc 10/25/2022,401468209
phx lac 10/23/2022,401468198
lac sac 10/22/2022,401468191
den mia 6/7/2023,401544848
den phx 5/11/2023,401544339
phx den 5/9/2023,401544338
phx den 4/29/2023,401544334
min den 4/16/2023,401540755
ind mia 11/30/2023,401584895
mil mia 11/28/2023,401584144
mia nyk 11/24/2023,401584133
mia chi 11/20/2023,401584848
mia chi 11/18/2023,401584832
bkn mia 11/16/2023,401584828
mia cha 11/14/2023,401584105
mia sas 11/12/2023,401584812
mia atl 11/11/2023,401584803
uta mia 3/13/2023,401469177
mia bkn 2/15/2023,401469033
den mia 2/13/2023,401469016
mil mia 1/14/2023,401468796
mil mia 1/12/2023,401468783
mia phx 1/6/2023,401468744
mia uta 12/31/2022,401468701
mia min 11/21/2022,401468407
mia cle 11/20/2022,401468399
phx mia 11/14/2022,401468357
cha mia 11/12/2022,401468344
cha mia 11/10/2022,401468329
por mia 11/7/2022,401468305
mia den 6/12/2023,401544850
den mia 6/9/2023,401544849
mia den 6/4/2023,401544847
mia den 6/1/2023,401544846
mia bos 5/29/2023,401547678
bos mia 5/27/2023,401547676
mia bos 5/25/2023,401547675
bos mia 5/23/2023,401547674
bos mia 5/21/2023,401547673
mia bos 5/19/2023,401547672
mia bos 5/17/2023,401547671
nyk mia 5/12/2023,401544978
mia nyk 5/10/2023,401544977
nyk mia 5/8/2023,401544976
nyk mia 5/6/2023,401544975
mia nyk 5/2/2023,401544974
mia nyk 4/30/2023,401544973
mia mil 4/26/2023,401541240
mil mia 4/24/2023,401541187
mil mia 4/22/2023,401541179
mia mil 4/19/2023,401541171
mia cha 12/11/2023,401584920
mia bkn 11/25/2023,401584868
mia cle 11/22/2023,401584857
nop den 3/30/2023,401469302
mil den 3/25/2023,401469264
den wsh 3/22/2023,401469238
den nyk 3/18/2023,401469210
den det 3/16/2023,401469197
den tor 3/14/2023,401469184
dal den 2/15/2023,401469036
den cha 2/11/2023,401469002
lal bkn 1/30/2023,401468912
lal den 1/9/2023,401468764
lal phx 12/19/2022,401468614
lal tor 12/7/2022,401468521
lal phx 11/22/2022,401468414
sas lal 11/20/2022,401468402
det lal 11/18/2022,401468389
cle mia 12/8/2023,401616474
mia tor 12/6/2023,401616461
ind mia 12/2/2023,401584912
okc mia 1/10/2023,401468766
mia tor 11/16/2022,401468370
mia wsh 4/7/2023,401469359
mia wsh 11/18/2022,401468379
mia hou 10/20/2023,401591939
cha mia 10/10/2023,401591884
det chi 4/9/2023,401469378
det ind 4/7/2023,401469358
bkn det 4/5/2023,401469344
det orl 4/2/2023,401469324
det hou 3/31/2023,401469310
det okc 3/29/2023,401469297
mil det 3/27/2023,401469277
det tor 3/24/2023,401469254
det atl 3/21/2023,401469233
det wsh 3/14/2023,401469183
ind det 3/13/2023,401469175
ind det 3/11/2023,401469161
cha det 3/9/2023,401469147
wsh det 3/7/2023,401526670
por det 3/6/2023,401469132
det cle 3/4/2023,401469112
chi det 3/1/2023,401469089
det cha 2/27/2023,401469074
tor det 2/25/2023,401469058
nop orl 1/20/2023,401468838
okc orl 1/4/2023,401468721
orl det 12/28/2022,401468670
sas orl 12/23/2022,401468634
cle orl 12/11/2023,401584922
orl cle 12/6/2023,401616459
cle det 12/2/2023,401584911
por cle 11/30/2023,401584893
atl cle 11/28/2023,401584143
tor cle 11/26/2023,401584879
cle phi 11/21/2023,401584128
det cle 11/17/2023,401584118
cle por 11/15/2023,401584827
cle sac 11/13/2023,401584819
cle gsw 11/11/2023,401584804
cle okc 11/8/2023,401584795
gsw cle 11/5/2023,401584770
cle ind 11/3/2023,401584089
cha cle 4/9/2023,401469373
cle orl 4/4/2023,401469333
ind cle 4/2/2023,401469328
hou cle 3/26/2023,401469272
cle bkn 3/23/2023,401469249
cle bkn 3/21/2023,401469234
bos cle 3/6/2023,401469126
cle bos 3/1/2023,401469090
tor cle 2/26/2023,401469069
cle atl 2/24/2023,401469051
cle phi 2/15/2023,401469030
sas cle 2/13/2023,401469013
chi cle 2/11/2023,401469007
cle nop 2/10/2023,401468997
det cle 2/8/2023,401468977
cle wsh 2/6/2023,401468964
cle ind 2/5/2023,401468958
mem cle 2/2/2023,401468934
lac cle 1/29/2023,401468909
cle okc 1/27/2023,401468894
cle hou 1/26/2023,401468888
cle nyk 1/24/2023,401468870
