greg brown iii,pf
dante exum,g
alex fudge,f
daniel gafford,c
josh green,sg
tim hardaway jr,sf
luka doncic,pg
jaden hardy,g
kyrie irving,pg
derrick jones jr,sf
maxi kleber,pf
aj lawson,g
dereck lively ii,c
