CLE CavaliersatCHA HornetsTODAY 7:10PM			CLE CavaliersatCHA HornetsTODAY 7:10PM			CLE CavaliersatCHA HornetsTODAY 7:10PM			CLE CavaliersatCHA HornetsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Darius Garland	O 24.5  −120	U 24.5  −110	Darius Garland	O 3.5  +100	U 3.5  −130	Darius Garland	O 8.5  +115	U 8.5  −145	Darius Garland	O 2.5  −140	U 2.5  +110
Dennis Smith Jr.	O 9.5  −115	U 9.5  −115	Dennis Smith Jr.	O 2.5  −175	U 2.5  +140	Dennis Smith Jr.	O 5.5  −115	U 5.5  −115	Dennis Smith Jr.	O 0.5  +120	U 0.5  −150
Evan Mobley	O 21.5  −125	U 21.5  −105	Evan Mobley	O 11.5  −135	U 11.5  +105	Evan Mobley	O 2.5  −145	U 2.5  +115	Evan Mobley	O 0.5  +180	U 0.5  −220
Gordon Hayward	O 14.5  −125	U 14.5  −105	Gordon Hayward	O 4.5  −105	U 4.5  −125	Gordon Hayward	O 4.5  −135	U 4.5  +105	Gordon Hayward	O 1.5  +165	U 1.5  −205
Isaac Okoro	O 9.5  −110	U 9.5  −120	Isaac Okoro	O 3.5  +140	U 3.5  −175	PJ Washington	O 2.5  +155	U 2.5  −190	Isaac Okoro	O 1.5  +160	U 1.5  −195
Kelly Oubre Jr.	O 20.5  −125	U 20.5  −105	Kelly Oubre Jr.	O 5.5  −140	U 5.5  +110	Terry Rozier	O 5.5  −125	U 5.5  −105	Kelly Oubre Jr.	O 2.5  −120	U 2.5  −110
Lamar Stevens	O 9.5  −120	U 9.5  −110	Lamar Stevens	O 5.5  −155	U 5.5  +125	DET PistonsatWAS WizardsTODAY 7:10PM			Lamar Stevens	O 0.5  −110	U 0.5  −120
Nick Richards	O 10.5  −110	U 10.5  −120	Nick Richards	O 9.5  −120	U 9.5  −110	PLAYER	OVER	UNDER	PJ Washington	O 1.5  −185	U 1.5  +150
PJ Washington	O 15.5  −115	U 15.5  −115	PJ Washington	O 5.5  +110	U 5.5  −140	Bradley Beal	O 6.5  −125	U 6.5  −105	Terry Rozier	O 2.5  +105	U 2.5  −135
Terry Rozier	O 21.5  −115	U 21.5  −115	Terry Rozier	O 4.5  +105	U 4.5  −135	Kristaps Porzingis	O 2.5  −140	U 2.5  +110	DET PistonsatWAS WizardsTODAY 7:10PM		
DET PistonsatWAS WizardsTODAY 7:10PM			DET PistonsatWAS WizardsTODAY 7:10PM			Monte Morris	O 5.5  +125	U 5.5  −155	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	DEN NuggetsatTOR RaptorsTODAY 7:40PM			Bradley Beal	O 1.5  −140	U 1.5  +110
Bradley Beal	O 26.5  −105	U 26.5  −125	Bradley Beal	O 4.5  −120	U 4.5  −110	PLAYER	OVER	UNDER	Kristaps Porzingis	O 2.5  +100	U 2.5  −130
Daniel Gafford	O 10.5  −115	U 10.5  −115	Daniel Gafford	O 7.5  +105	U 7.5  −135	Aaron Gordon	O 2.5  −150	U 2.5  +120	Monte Morris	O 1.5  +145	U 1.5  −180
Kristaps Porzingis	O 24.5  −115	U 24.5  −115	Kristaps Porzingis	O 8.5  −125	U 8.5  −105	Fred VanVleet	O 8.5  −105	U 8.5  −125	DEN NuggetsatTOR RaptorsTODAY 7:40PM		
Monte Morris	O 10.5  +100	U 10.5  −130	Monte Morris	O 3.5  +100	U 3.5  −130	Jakob Poeltl	O 2.5  −130	U 2.5  +100	PLAYER	OVER	UNDER
DEN NuggetsatTOR RaptorsTODAY 7:40PM			DEN NuggetsatTOR RaptorsTODAY 7:40PM			Kentavious Caldwell-Pope	O 2.5  −160	U 2.5  +130	Aaron Gordon	O 0.5  −165	U 0.5  +135
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Nikola Jokic	O 10.5  +100	U 10.5  −130	Fred VanVleet	O 2.5  −140	U 2.5  +110
Aaron Gordon	O 15.5  −110	U 15.5  −120	Aaron Gordon	O 6.5  +100	U 6.5  −130	Pascal Siakam	O 4.5  −145	U 4.5  +115	Gary Trent Jr.	O 1.5  −125	U 1.5  −105
Fred VanVleet	O 18.5  −115	U 18.5  −115	Fred VanVleet	O 3.5  −155	U 3.5  +125	Scottie Barnes	O 4.5  +100	U 4.5  −130	Kentavious Caldwell-Pope	O 1.5  +100	U 1.5  −130
Gary Trent Jr.	O 11.5  −110	U 11.5  −120	Jakob Poeltl	O 8.5  −140	U 8.5  +110	BKN NetsatOKC ThunderTODAY 8:10PM			Michael Porter Jr.	O 2.5  −145	U 2.5  +115
Jakob Poeltl	O 13.5  +100	U 13.5  −130	Kentavious Caldwell-Pope	O 2.5  +105	U 2.5  −135	PLAYER	OVER	UNDER	Nikola Jokic	O 0.5  −165	U 0.5  +135
Kentavious Caldwell-Pope	O 9.5  −125	U 9.5  −105	Michael Porter Jr.	O 4.5  −150	U 4.5  +120	Jalen Williams	O 2.5  −190	U 2.5  +155	OG Anunoby	O 2.5  +140	U 2.5  −175
Michael Porter Jr.	O 16.5  −125	U 16.5  −105	Nikola Jokic	O 12.5  −120	U 12.5  −110	Josh Giddey	O 5.5  −135	U 5.5  +105	Pascal Siakam	O 1.5  +160	U 1.5  −195
Nikola Jokic	O 24.5  −115	U 24.5  −115	OG Anunoby	O 4.5  +115	U 4.5  −145	Mikal Bridges	O 2.5  −175	U 2.5  +140	Scottie Barnes	O 0.5  −155	U 0.5  +125
OG Anunoby	O 14.5  −115	U 14.5  −115	Pascal Siakam	O 6.5  −110	U 6.5  −120	Royce O'Neale	O 2.5  −165	U 2.5  +135	BKN NetsatOKC ThunderTODAY 8:10PM		
Pascal Siakam	O 21.5  −125	U 21.5  −105	Scottie Barnes	O 6.5  −105	U 6.5  −125	Shai Gilgeous-Alexander	O 5.5  +110	U 5.5  −140	PLAYER	OVER	UNDER
Scottie Barnes	O 15.5  −115	U 15.5  −115	BKN NetsatOKC ThunderTODAY 8:10PM			Spencer Dinwiddie	O 7.5  −155	U 7.5  +125	Cameron Johnson	O 2.5  −105	U 2.5  −125
BKN NetsatOKC ThunderTODAY 8:10PM			PLAYER	OVER	UNDER	LA LakersatNO PelicansTODAY 8:10PM			Dorian Finney-Smith	O 1.5  −145	U 1.5  +115
PLAYER	OVER	UNDER	Cameron Johnson	O 4.5  −130	U 4.5  +100	PLAYER	OVER	UNDER	Jalen Williams	O 1.5  +165	U 1.5  −205
Cameron Johnson	O 16.5  −110	U 16.5  −120	Dorian Finney-Smith	O 5.5  +110	U 5.5  −140	Anthony Davis	O 2.5  −145	U 2.5  +115	Josh Giddey	O 0.5  −150	U 0.5  +120
Dorian Finney-Smith	O 9.5  −105	U 9.5  −125	Jalen Williams	O 4.5  +105	U 4.5  −135	Austin Reaves	O 3.5  +140	U 3.5  −175	Luguentz Dort	O 1.5  −140	U 1.5  +110
Jalen Williams	O 15.5  −115	U 15.5  −115	Josh Giddey	O 8.5  +100	U 8.5  −130	CJ McCollum	O 6.5  −105	U 6.5  −125	Mikal Bridges	O 2.5  +110	U 2.5  −140
Josh Giddey	O 16.5  −125	U 16.5  −105	Luguentz Dort	O 3.5  −165	U 3.5  +135	D'Angelo Russell	O 6.5  −145	U 6.5  +115	Royce O'Neale	O 1.5  −140	U 1.5  +110
Luguentz Dort	O 13.5  −125	U 13.5  −105	Mikal Bridges	O 5.5  +115	U 5.5  −145	Dennis Schroder	O 4.5  +105	U 4.5  −135	Shai Gilgeous-Alexander	O 0.5  −140	U 0.5  +110
Mikal Bridges	O 25.5  −105	U 25.5  −125	Nicolas Claxton	O 9.5  −140	U 9.5  +110	Herbert Jones	O 2.5  −115	U 2.5  −115	Spencer Dinwiddie	O 2.5  +110	U 2.5  −140
Nicolas Claxton	O 11.5  −125	U 11.5  −105	Royce O'Neale	O 5.5  +115	U 5.5  −145	ORL MagicatSA SpursTODAY 8:10PM			LA LakersatNO PelicansTODAY 8:10PM		
Royce O'Neale	O 7.5  −130	U 7.5  +100	Shai Gilgeous-Alexander	O 5.5  −120	U 5.5  −110	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Shai Gilgeous-Alexander	O 31.5  −120	U 31.5  −110	Spencer Dinwiddie	O 3.5  −130	U 3.5  +100	Devin Vassell	O 3.5  −110	U 3.5  −120	Anthony Davis	O 0.5  +160	U 0.5  −195
Spencer Dinwiddie	O 20.5  −110	U 20.5  −120	LA LakersatNO PelicansTODAY 8:10PM			Markelle Fultz	O 6.5  −115	U 6.5  −115	Austin Reaves	O 0.5  −220	U 0.5  +180
LA LakersatNO PelicansTODAY 8:10PM			PLAYER	OVER	UNDER	Paolo Banchero	O 3.5  −110	U 3.5  −120	CJ McCollum	O 2.5  −140	U 2.5  +110
