MIL BucksatIND PacersTODAY 7:10PM			MIL BucksatIND PacersTODAY 7:10PM			MIL BucksatIND PacersTODAY 7:10PM			MIL BucksatIND PacersTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Aaron Nesmith	O 11.5  −125	U 11.5  −105	Aaron Nesmith	O 3.5  −140	U 3.5  +110	Andrew Nembhard	O 5.5  −105	U 5.5  −125	Aaron Nesmith	O 1.5  −145	U 1.5  +115
Andrew Nembhard	O 13.5  −125	U 13.5  −105	Andrew Nembhard	O 2.5  −160	U 2.5  +130	Giannis Antetokounmpo	O 6.5  +100	U 6.5  −130	Andrew Nembhard	O 1.5  −150	U 1.5  +120
Bennedict Mathurin	O 17.5  +100	U 17.5  −130	Bennedict Mathurin	O 3.5  −165	U 3.5  +135	Jordan Nwora	O 2.5  −135	U 2.5  +105	Bennedict Mathurin	O 1.5  −110	U 1.5  −120
Brook Lopez	O 17.5  −115	U 17.5  −115	Brook Lopez	O 7.5  +110	U 7.5  −140	Jrue Holiday	O 7.5  −130	U 7.5  +100	Brook Lopez	O 1.5  −115	U 1.5  −115
Giannis Antetokounmpo	O 31.5  −125	U 31.5  −105	Giannis Antetokounmpo	O 12.5  −105	U 12.5  −125	T.J. McConnell	O 7.5  +105	U 7.5  −135	Giannis Antetokounmpo	O 0.5  −150	U 0.5  +120
Grayson Allen	O 10.5  −110	U 10.5  −120	Grayson Allen	O 2.5  −150	U 2.5  +120	DAL MavericksatPHI 76ersTODAY 7:40PM			Grayson Allen	O 2.5  +150	U 2.5  −185
Jordan Nwora	O 16.5  −110	U 16.5  −120	Jordan Nwora	O 6.5  +100	U 6.5  −130	PLAYER	OVER	UNDER	Jordan Nwora	O 2.5  −110	U 2.5  −120
Jrue Holiday	O 16.5  −145	U 16.5  +115	Jrue Holiday	O 4.5  +130	U 4.5  −160	Kyrie Irving	O 4.5  −165	U 4.5  +135	Jrue Holiday	O 2.5  +150	U 2.5  −185
