TOR RaptorsatCHA HornetsTODAY 1:10PM			TOR RaptorsatCHA HornetsTODAY 1:10PM			TOR RaptorsatCHA HornetsTODAY 1:10PM			TOR RaptorsatCHA HornetsTODAY 1:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Bryce McGowens	O 9.5  −120	U 9.5  −110	Bryce McGowens	O 3.5  +120	U 3.5  −150	Bryce McGowens	O 2.5  +115	U 2.5  −145	Bryce McGowens	O 1.5  +145	U 1.5  −180
Chris Boucher	O 9.5  −130	U 9.5  +100	Chris Boucher	O 6.5  −110	U 6.5  −120	Fred VanVleet	O 7.5  −105	U 7.5  −125	Chris Boucher	O 0.5  −150	U 0.5  +120
Fred VanVleet	O 21.5  −110	U 21.5  −120	Fred VanVleet	O 3.5  −160	U 3.5  +130	Jakob Poeltl	O 2.5  +150	U 2.5  −185	Fred VanVleet	O 3.5  +130	U 3.5  −160
Jakob Poeltl	O 14.5  −110	U 14.5  −120	Jakob Poeltl	O 10.5  −135	U 10.5  +105	James Bouknight	O 3.5  −120	U 3.5  −110	James Bouknight	O 1.5  −185	U 1.5  +150
James Bouknight	O 12.5  −125	U 12.5  −105	James Bouknight	O 3.5  −150	U 3.5  +120	Pascal Siakam	O 5.5  +120	U 5.5  −150	JT Thor	O 1.5  −130	U 1.5  +100
JT Thor	O 11.5  −115	U 11.5  −115	JT Thor	O 4.5  +105	U 4.5  −135	Scottie Barnes	O 4.5  −130	U 4.5  +100	OG Anunoby	O 2.5  −105	U 2.5  −125
Mark Williams	O 15.5  +100	U 15.5  −130	Mark Williams	O 8.5  −145	U 8.5  +115	Svi Mykhailiuk	O 3.5  −140	U 3.5  +110	Pascal Siakam	O 1.5  +180	U 1.5  −220
OG Anunoby	O 16.5  −125	U 16.5  −105	OG Anunoby	O 4.5  +100	U 4.5  −130	Theo Maledon	O 8.5  +105	U 8.5  −135	Scottie Barnes	O 0.5  −130	U 0.5  +100
Pascal Siakam	O 22.5  −115	U 22.5  −115	Pascal Siakam	O 8.5  −105	U 8.5  −125	UTA JazzatBKN NetsTODAY 3:40PM			Svi Mykhailiuk	O 2.5  −105	U 2.5  −125
Scottie Barnes	O 17.5  −110	U 17.5  −120	Scottie Barnes	O 6.5  −130	U 6.5  +100	PLAYER	OVER	UNDER	Theo Maledon	O 1.5  −115	U 1.5  −115
Svi Mykhailiuk	O 14.5  −125	U 14.5  −105	Svi Mykhailiuk	O 2.5  −150	U 2.5  +110	Cameron Johnson	O 2.5  +120	U 2.5  −150	UTA JazzatBKN NetsTODAY 3:40PM		
Theo Maledon	O 15.5  +115	U 15.5  −145	Theo Maledon	O 4.5  −110	U 4.5  −120	Kelly Olynyk	O 3.5  −120	U 3.5  −110	PLAYER	OVER	UNDER
UTA JazzatBKN NetsTODAY 3:40PM			UTA JazzatBKN NetsTODAY 3:40PM			Mikal Bridges	O 3.5  +140	U 3.5  −175	Cameron Johnson	O 2.5  −110	U 2.5  −120
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Nicolas Claxton	O 2.5  +130	U 2.5  −160	Dorian Finney-Smith	O 1.5  −120	U 1.5  −110
Cameron Johnson	O 17.5  −110	U 17.5  −120	Cameron Johnson	O 4.5  −145	U 4.5  +115	Royce O'Neale	O 2.5  −140	U 2.5  +110	Joe Harris	O 1.5  −115	U 1.5  −115
Dorian Finney-Smith	O 8.5  −110	U 8.5  −120	Dorian Finney-Smith	O 5.5  +120	U 5.5  −150	Spencer Dinwiddie	O 9.5  −110	U 9.5  −120	Kelly Olynyk	O 1.5  +155	U 1.5  −190
Joe Harris	O 6.5  −105	U 6.5  −125	Kelly Olynyk	O 7.5  +120	U 7.5  −150	Talen Horton-Tucker	O 5.5  +100	U 5.5  −130	Mikal Bridges	O 2.5  −135	U 2.5  +105
Kelly Olynyk	O 13.5  +100	U 13.5  −130	Mikal Bridges	O 4.5  +115	U 4.5  −145	POR Trail BlazersatMIN TimberwolvesTODAY 3:40PM			Ochai Agbaji	O 2.5  +155	U 2.5  −190
Mikal Bridges	O 27.5  −120	U 27.5  −110	Nicolas Claxton	O 9.5  −145	U 9.5  +115	PLAYER	OVER	UNDER	Royce O'Neale	O 1.5  −135	U 1.5  +105
