MIN TimberwolvesatGS WarriorsTODAY 8:40PM			MIN TimberwolvesatGS WarriorsTODAY 8:40PM			MIN TimberwolvesatGS WarriorsTODAY 8:40PM			MIN TimberwolvesatGS WarriorsTODAY 8:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Donte DiVincenzo	O 8.5  −105	U 8.5  −125	Donte DiVincenzo	O 3.5  −125	U 3.5  −105	Donte DiVincenzo	O 2.5  −130	U 2.5  +100	Donte DiVincenzo	O 1.5  −120	U 1.5  −110
Draymond Green	O 9.5  +105	U 9.5  −135	Draymond Green	O 7.5  +115	U 7.5  −145	Draymond Green	O 6.5  −145	U 6.5  +115	Draymond Green	O 0.5  +110	U 0.5  −140
Jaden McDaniels	O 13.5  +100	U 13.5  −130	Jaden McDaniels	O 3.5  −150	U 3.5  +120	Jordan Poole	O 3.5  −185	U 3.5  +135	Jaden McDaniels	O 1.5  +110	U 1.5  −140
Jonathan Kuminga	O 10.5  −135	U 10.5  +105	Jonathan Kuminga	O 3.5  −115	U 3.5  −115	Kevon Looney	O 2.5  +135	U 2.5  −165	Jonathan Kuminga	O 0.5  −160	U 0.5  +130
Jordan Poole	O 17.5  −125	U 17.5  −105	Jordan Poole	O 2.5  +135	U 2.5  −165	Klay Thompson	O 2.5  +145	U 2.5  −180	Jordan Poole	O 2.5  +120	U 2.5  −150
Kevon Looney	O 8.5  +105	U 8.5  −135	Kevon Looney	O 9.5  −135	U 9.5  +105	Mike Conley	O 5.5  −150	U 5.5  +120	Klay Thompson	O 3.5  −150	U 3.5  +120
Klay Thompson	O 21.5  −135	U 21.5  +105	Klay Thompson	O 4.5  +100	U 4.5  −130	Stephen Curry	O 5.5  −115	U 5.5  −115	Mike Conley	O 1.5  −180	U 1.5  +145
Mike Conley	O 11.5  −120	U 11.5  −110	Mike Conley	O 2.5  −135	U 2.5  +105				Stephen Curry	O 4.5  +105	U 4.5  −135
Rudy Gobert	O 13.5  −120	U 13.5  −110	Rudy Gobert	O 10.5  −140	U 10.5  +110						
Stephen Curry	O 29.5  −120	U 29.5  −110	Stephen Curry	O 5.5  −140	U 5.5  +110						
