DEN NuggetsatWAS WizardsTODAY 7:10PM			DEN NuggetsatWAS WizardsTODAY 7:10PM			DEN NuggetsatWAS WizardsTODAY 7:10PM			DEN NuggetsatWAS WizardsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Aaron Gordon	O 14.5  −110	U 14.5  −120	Aaron Gordon	O 5.5  −130	U 5.5  +100	Aaron Gordon	O 2.5  −135	U 2.5  +105	Aaron Gordon	O 0.5  −115	U 0.5  −115
Bradley Beal	O 23.5  −125	U 23.5  −105	Bradley Beal	O 4.5  −105	U 4.5  −125	Bradley Beal	O 5.5  −140	U 5.5  +110	Bradley Beal	O 1.5  −105	U 1.5  −125
Bruce Brown	O 9.5  −105	U 9.5  −125	Daniel Gafford	O 5.5  −125	U 5.5  −105	Jamal Murray	O 6.5  +115	U 6.5  −145	Bruce Brown	O 0.5  −125	U 0.5  −105
Daniel Gafford	O 8.5  −130	U 8.5  +100	Jamal Murray	O 3.5  −120	U 3.5  −110	Kentavious Caldwell-Pope	O 2.5  +110	U 2.5  −140	Jamal Murray	O 2.5  −140	U 2.5  +110
Jamal Murray	O 20.5  −125	U 20.5  −105	Kentavious Caldwell-Pope	O 2.5  +150	U 2.5  −185	Kristaps Porzingis	O 2.5  −130	U 2.5  +100	Kentavious Caldwell-Pope	O 1.5  +105	U 1.5  −135
Kentavious Caldwell-Pope	O 8.5  −115	U 8.5  −115	Kristaps Porzingis	O 7.5  −120	U 7.5  −110	Monte Morris	O 5.5  −105	U 5.5  −125	Kristaps Porzingis	O 2.5  +125	U 2.5  −155
Kristaps Porzingis	O 23.5  −115	U 23.5  −115	Michael Porter Jr.	O 4.5  −150	U 4.5  +120	Nikola Jokic	O 9.5  −115	U 9.5  −115	Michael Porter Jr.	O 2.5  −130	U 2.5  +100
Michael Porter Jr.	O 16.5  −120	U 16.5  −110	Monte Morris	O 3.5  +110	U 3.5  −140	NY KnicksatMIA HeatTODAY 7:40PM			Monte Morris	O 1.5  +140	U 1.5  −175
Monte Morris	O 10.5  −120	U 10.5  −110	Nikola Jokic	O 11.5  −120	U 11.5  −110	PLAYER	OVER	UNDER	Nikola Jokic	O 0.5  +100	U 0.5  −130
Nikola Jokic	O 23.5  −140	U 23.5  +110	NY KnicksatMIA HeatTODAY 7:40PM			Bam Adebayo	O 2.5  −175	U 2.5  +140	NY KnicksatMIA HeatTODAY 7:40PM		
NY KnicksatMIA HeatTODAY 7:40PM			PLAYER	OVER	UNDER	Immanuel Quickley	O 2.5  +110	U 2.5  −140	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	Bam Adebayo	O 8.5  +110	U 8.5  −140	Jalen Brunson	O 5.5  −110	U 5.5  −120	Immanuel Quickley	O 2.5  +150	U 2.5  −185
Bam Adebayo	O 19.5  +100	U 19.5  −130	Immanuel Quickley	O 3.5  +115	U 3.5  −145	Jimmy Butler	O 4.5  −135	U 4.5  +105	Jalen Brunson	O 2.5  +135	U 2.5  −165
Immanuel Quickley	O 13.5  −105	U 13.5  −125	Jalen Brunson	O 3.5  +100	U 3.5  −130	Josh Hart	O 3.5  +105	U 3.5  −135	Jimmy Butler	O 0.5  +150	U 0.5  −185
Jalen Brunson	O 23.5  −105	U 23.5  −125	Jimmy Butler	O 6.5  −135	U 6.5  +105	Julius Randle	O 3.5  −110	U 3.5  −120	Josh Hart	O 0.5  −160	U 0.5  +130
Jimmy Butler	O 24.5  −110	U 24.5  −120	Josh Hart	O 6.5  −110	U 6.5  −120	RJ Barrett	O 2.5  +155	U 2.5  −190	Julius Randle	O 3.5  +115	U 3.5  −145
Josh Hart	O 9.5  +100	U 9.5  −130	Julius Randle	O 8.5  +115	U 8.5  −145	Tyler Herro	O 3.5  −120	U 3.5  −110	Kevin Love	O 1.5  −105	U 1.5  −125
Julius Randle	O 26.5  −120	U 26.5  −110	Kevin Love	O 5.5  −130	U 5.5  +100	GS WarriorsatDAL MavericksTODAY 7:40PM			Quentin Grimes	O 1.5  +105	U 1.5  −135
Kevin Love	O 7.5  −135	U 7.5  +105	Mitchell Robinson	O 8.5  +100	U 8.5  −130	PLAYER	OVER	UNDER	RJ Barrett	O 1.5  −120	U 1.5  −110
Quentin Grimes	O 6.5  −115	U 6.5  −115	RJ Barrett	O 4.5  +115	U 4.5  −145	Donte DiVincenzo	O 3.5  +140	U 3.5  −175	Tyler Herro	O 2.5  −140	U 2.5  +110
RJ Barrett	O 17.5  −125	U 17.5  −105	Tyler Herro	O 5.5  +100	U 5.5  −130	Draymond Green	O 6.5  −105	U 6.5  −125	GS WarriorsatDAL MavericksTODAY 7:40PM		
Tyler Herro	O 19.5  −115	U 19.5  −115	GS WarriorsatDAL MavericksTODAY 7:40PM			Jordan Poole	O 3.5  −135	U 3.5  +105	PLAYER	OVER	UNDER
GS WarriorsatDAL MavericksTODAY 7:40PM			PLAYER	OVER	UNDER	Klay Thompson	O 2.5  +135	U 2.5  −165	Donte DiVincenzo	O 1.5  −145	U 1.5  +115
PLAYER	OVER	UNDER	Donte DiVincenzo	O 4.5  +105	U 4.5  −135	Stephen Curry	O 5.5  +110	U 5.5  −140	Draymond Green	O 0.5  +130	U 0.5  −160
Donte DiVincenzo	O 9.5  +100	U 9.5  −130	Draymond Green	O 7.5  +110	U 7.5  −140	IND PacersatTOR RaptorsTODAY 7:40PM			Jordan Poole	O 2.5  +155	U 2.5  −190
Draymond Green	O 8.5  −125	U 8.5  −105	Jordan Poole	O 2.5  +120	U 2.5  −150	PLAYER	OVER	UNDER	Klay Thompson	O 3.5  −135	U 3.5  +105
Jordan Poole	O 16.5  −120	U 16.5  −110	Kevon Looney	O 9.5  −115	U 9.5  −115	Buddy Hield	O 2.5  −135	U 2.5  +105	Stephen Curry	O 4.5  −115	U 4.5  −115
Kevon Looney	O 7.5  −130	U 7.5  +100	Klay Thompson	O 4.5  +100	U 4.5  −130	Fred VanVleet	O 7.5  −140	U 7.5  +110	IND PacersatTOR RaptorsTODAY 7:40PM		
Klay Thompson	O 21.5  −115	U 21.5  −115	Stephen Curry	O 6.5  +120	U 6.5  −150	Jakob Poeltl	O 2.5  −165	U 2.5  +135	PLAYER	OVER	UNDER
Stephen Curry	O 29.5  −125	U 29.5  −105	IND PacersatTOR RaptorsTODAY 7:40PM			Pascal Siakam	O 5.5  −110	U 5.5  −120	Aaron Nesmith	O 1.5  +115	U 1.5  −145
IND PacersatTOR RaptorsTODAY 7:40PM			PLAYER	OVER	UNDER	PHI 76ersatCHI BullsTODAY 8:10PM			Buddy Hield	O 3.5  +135	U 3.5  −165
PLAYER	OVER	UNDER	Aaron Nesmith	O 3.5  −125	U 3.5  −105	PLAYER	OVER	UNDER	Fred VanVleet	O 2.5  −155	U 2.5  +125
Aaron Nesmith	O 9.5  −115	U 9.5  −115	Buddy Hield	O 4.5  −150	U 4.5  +120	DeMar DeRozan	O 4.5  −110	U 4.5  −120	Myles Turner	O 1.5  +135	U 1.5  −165
Buddy Hield	O 15.5  −105	U 15.5  −125	Fred VanVleet	O 4.5  +120	U 4.5  −150	Joel Embiid	O 4.5  +105	U 4.5  −135	OG Anunoby	O 2.5  −105	U 2.5  −125
Fred VanVleet	O 20.5  −105	U 20.5  −125	Jakob Poeltl	O 10.5  −135	U 10.5  +105	Nikola Vucevic	O 2.5  −155	U 2.5  +125	Pascal Siakam	O 1.5  +175	U 1.5  −215
Jakob Poeltl	O 14.5  −125	U 14.5  −105	Myles Turner	O 6.5  −135	U 6.5  +105	Patrick Beverley	O 2.5  −160	U 2.5  +130	PHI 76ersatCHI BullsTODAY 8:10PM		
Myles Turner	O 17.5  −120	U 17.5  −110	OG Anunoby	O 4.5  +100	U 4.5  −130	Zach LaVine	O 3.5  −150	U 3.5  +120	PLAYER	OVER	UNDER
OG Anunoby	O 16.5  −120	U 16.5  −110	Pascal Siakam	O 8.5  +115	U 8.5  −145	SA SpursatMIL BucksTODAY 8:10PM			DeMar DeRozan	O 0.5  −105	U 0.5  −125
Pascal Siakam	O 23.5  −115	U 23.5  −115	PHI 76ersatCHI BullsTODAY 8:10PM			PLAYER	OVER	UNDER	Joel Embiid	O 0.5  −155	U 0.5  +125
PHI 76ersatCHI BullsTODAY 8:10PM			PLAYER	OVER	UNDER	Giannis Antetokounmpo	O 5.5  −130	U 5.5  +100	Nikola Vucevic	O 1.5  +120	U 1.5  −150
PLAYER	OVER	UNDER	DeMar DeRozan	O 4.5  −115	U 4.5  −115	Jrue Holiday	O 7.5  +120	U 7.5  −150	Patrick Beverley	O 1.5  +130	U 1.5  −160
DeMar DeRozan	O 22.5  −115	U 22.5  −115	Joel Embiid	O 10.5  −140	U 10.5  +110	Khris Middleton	O 5.5  −115	U 5.5  −115	Zach LaVine	O 2.5  +110	U 2.5  −140
Joel Embiid	O 33.5  −130	U 33.5  +100	Nikola Vucevic	O 10.5  −115	U 10.5  −115	Zach Collins	O 3.5  +105	U 3.5  −135	SA SpursatMIL BucksTODAY 8:10PM		
Nikola Vucevic	O 16.5  −115	U 16.5  −115	Patrick Beverley	O 4.5  +120	U 4.5  −150	HOU RocketsatMEM GrizzliesTODAY 8:10PM			PLAYER	OVER	UNDER
Patrick Beverley	O 6.5  −110	U 6.5  −120	Zach LaVine	O 4.5  −115	U 4.5  −115	PLAYER	OVER	UNDER	Bobby Portis	O 0.5  −235	U 0.5  +190
Zach LaVine	O 24.5  −135	U 24.5  +105	SA SpursatMIL BucksTODAY 8:10PM			Alperen Sengun	O 3.5  −150	U 3.5  +120	Brook Lopez	O 1.5  −150	U 1.5  +120
SA SpursatMIL BucksTODAY 8:10PM			PLAYER	OVER	UNDER	Desmond Bane	O 3.5  −145	U 3.5  +110	Giannis Antetokounmpo	O 0.5  −130	U 0.5  +100
PLAYER	OVER	UNDER	Bobby Portis	O 7.5  +100	U 7.5  −130	Jalen Green	O 3.5  +110	U 3.5  −140	Grayson Allen	O 2.5  +125	U 2.5  −155
Bobby Portis	O 10.5  −130	U 10.5  +100	Brook Lopez	O 6.5  −140	U 6.5  +110	Kevin Porter Jr.	O 5.5  −165	U 5.5  +135	Jrue Holiday	O 2.5  +120	U 2.5  −150
Brook Lopez	O 16.5  −125	U 16.5  −105	Giannis Antetokounmpo	O 11.5  −125	U 11.5  −105	ATL HawksatMIN TimberwolvesTODAY 8:10PM			Khris Middleton	O 2.5  +115	U 2.5  −145
Giannis Antetokounmpo	O 31.5  −115	U 31.5  −115	Grayson Allen	O 2.5  −150	U 2.5  +120	PLAYER	OVER	UNDER	Zach Collins	O 1.5  +160	U 1.5  −195
Grayson Allen	O 10.5  −115	U 10.5  −115	Jrue Holiday	O 4.5  −105	U 4.5  −125	Mike Conley	O 5.5  −155	U 5.5  +125	HOU RocketsatMEM GrizzliesTODAY 8:10PM		
Jrue Holiday	O 17.5  −120	U 17.5  −110	Khris Middleton	O 4.5  −145	U 4.5  +115	Trae Young	O 10.5  −135	U 10.5  +105	PLAYER	OVER	UNDER
Khris Middleton	O 18.5  −120	U 18.5  −110	Zach Collins	O 7.5  +115	U 7.5  −145	POR Trail BlazersatUTA JazzTODAY 9:10PM			Alperen Sengun	O 0.5  +310	U 0.5  −410
Zach Collins	O 14.5  −105	U 14.5  −125	HOU RocketsatMEM GrizzliesTODAY 8:10PM			PLAYER	OVER	UNDER	Desmond Bane	O 2.5  −135	U 2.5  +105
HOU RocketsatMEM GrizzliesTODAY 8:10PM			PLAYER	OVER	UNDER	Damian Lillard	O 7.5  −105	U 7.5  −125	Jabari Smith	O 1.5  −105	U 1.5  −125
PLAYER	OVER	UNDER	Alperen Sengun	O 8.5  −130	U 8.5  +100	Jusuf Nurkic	O 2.5  −155	U 2.5  +125	Jalen Green	O 2.5  +110	U 2.5  −140
Alperen Sengun	O 13.5  −105	U 13.5  −125	Desmond Bane	O 4.5  −115	U 4.5  −115	Kelly Olynyk	O 4.5  +130	U 4.5  −160	Jaren Jackson Jr.	O 1.5  −120	U 1.5  −110
Desmond Bane	O 21.5  −125	U 21.5  −105	Jabari Smith	O 7.5  −140	U 7.5  +110	Talen Horton-Tucker	O 5.5  −125	U 5.5  −105	Kenyon Martin Jr.	O 0.5  −145	U 0.5  +115
Jabari Smith	O 14.5  −105	U 14.5  −125	Jalen Green	O 3.5  −150	U 3.5  +120	PHO SunsatLA LakersTODAY 10:10PM			Kevin Porter Jr.	O 2.5  +115	U 2.5  −145
Jalen Green	O 23.5  −105	U 23.5  −125	Jaren Jackson Jr.	O 6.5  −120	U 6.5  −110	PLAYER	OVER	UNDER	Tari Eason	O 0.5  −120	U 0.5  −110
Jaren Jackson Jr.	O 18.5  −125	U 18.5  −105	Kenyon Martin Jr.	O 6.5  +110	U 6.5  −140	Anthony Davis	O 2.5  −175	U 2.5  +140	Xavier Tillman	O 0.5  +1000	U 0.5  −2100
