Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
bradley beal,23,5,7,2,1,1,1,home,tor
corey kispert,8,3,2,2,1,1,1,home,tor
daniel gafford,11,8,2,1,1,1,1,home,tor
delon wright,9,5,5,1,1,1,1,home,tor
deni avdija,9,6,3,1,1,1,1,home,tor
fred vanvleet,19,4,7,3,1,1,1,away,wsh
gary trent jr,13,2,2,2,1,1,1,away,wsh
jakob poeltl,14,10,3,1,1,1,1,away,wsh
kristaps porzingis,24,8,3,3,1,1,1,home,tor
kyle kuzma,22,7,4,3,1,1,1,home,tor
og anunoby,15,5,2,2,1,1,1,away,wsh
pascal siakam,24,7,5,2,1,1,1,away,wsh
scottie barnes,15,7,4,1,1,1,1,away,wsh
caris levert,10,4,4,1,1,1,1,home,det
darius garland,23,3,8,3,1,1,1,home,det
donovan mitchell,26,5,5,4,1,1,1,home,det
evan mobley,18,10,3,1,1,1,1,home,det
isaac okoro,8,3,2,1,1,1,1,home,det
jaden ivey,17,4,5,2,1,1,1,away,cle
james wiseman,14,9,2,1,1,1,1,away,cle
jarrett allen,16,12,2,1,1,1,1,home,det
killian hayes,12,3,7,2,1,1,1,away,cle
bam adebayo,20,9,4,1,1,1,1,home,atl
clint capela,10,10,2,1,1,1,1,away,mia
deandre hunter,14,4,2,2,1,1,1,away,mia
dejounte murray,20,5,6,2,1,1,1,away,mia
john collins,11,5,2,1,1,1,1,away,mia
trae young,26,3,10,3,1,1,1,away,mia
tyler herro,22,5,5,3,1,1,1,home,atl
alperen sengun,16,10,5,1,1,1,1,away,sas
jabari smith,13,8,2,2,1,1,1,away,sas
jalen green,23,4,4,3,1,1,1,away,sas
jeremy sochan,18,6,4,1,1,1,1,home,hou
keita bates diop,14,6,3,1,1,1,1,home,hou
kenyon martin jr,15,7,2,1,1,1,1,away,sas
tari eason,12,7,2,1,1,1,1,away,sas
zach collins,16,8,4,1,1,1,1,home,hou
brook lopez,13,7,2,2,1,1,1,home,phi
giannis antetokounmpo,32,12,6,1,1,1,1,home,phi
grayson allen,9,3,2,2,1,1,1,home,phi
james harden,23,7,11,3,1,1,1,away,mil
joel embiid,32,11,4,1,1,1,1,away,mil
jrue holiday,19,5,7,3,1,1,1,home,phi
pj tucker,5,4,2,1,1,1,1,away,mil
tobias harris,13,5,2,2,1,1,1,away,mil
tyrese maxey,20,3,4,3,1,1,1,away,mil
anthony edwards,27,6,4,3,1,1,1,away,sac
deaaron fox,28,5,7,2,1,1,1,home,min
domantas sabonis,19,13,7,1,1,1,1,home,min
harrison barnes,15,5,2,2,1,1,1,home,min
jaden mcdaniels,12,4,2,2,1,1,1,away,sac
keegan murray,13,6,2,3,1,1,1,home,min
kevin huerter,13,4,3,3,1,1,1,home,min
kyle anderson,11,6,5,1,1,1,1,away,sac
mike conley,11,3,7,2,1,1,1,away,sac
rudy gobert,15,11,2,1,1,1,1,away,sac
