Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
Lebron James,28,8,8,3,1,1,1,away,dal
Anthony Davis,25,12,3,1,2,1,1,away,dal
Malik Beasley,14,4,2,3,1,1,1,away,dal
Jarred Vanderbilt,8,7,3,1,1,1,1,away,dal
Luka Doncic,33,9,8,3,1,2,1,home,lal
Kyrie Irving,26,5,6,4,1,1,1,home,lal
Josh Green,11,4,2,2,1,1,1,home,lal
Dwight Powell,7,5,2,1,1,1,1,home,lal
Bradley Beal,25,4,6,2,1,1,1,away,chi
Kyle Kuzma,24,8,4,3,1,1,1,away,chi
Daniel Gafford,11,8,2,1,2,1,1,away,chi
Zach Lavine,25,6,4,3,1,1,1,home,wsh
Demar Derozan,24,5,5,1,1,1,1,home,wsh
Nikola Vucevic,19,13,4,2,1,1,1,home,wsh
Patrick Beverley,8,3,4,2,1,1,1,home,wsh
Alex Caruso,7,4,3,1,1,1,1,home,wsh
Coby White,9,2,2,2,1,1,1,home,wsh
Donovan Mitchell,26,5,5,3,1,2,1,home,tor
Darius Garland,23,3,8,3,1,2,1,home,tor
Evan Mobley,17,10,2,1,1,1,1,home,tor
Jarrett Allen,15,11,2,1,2,1,1,home,tor
Isaac Okoro,7,2,2,1,1,1,1,home,tor
Pascal Siakam,24,7,6,2,1,1,1,away,cle
Scottie Barnes,15,6,5,1,1,1,1,away,cle
Jakob Poeltl,12,9,3,1,2,1,1,away,cle
OG Anunoby,13,5,2,2,1,2,1,away,cle
Gary Trent Jr,19,3,2,3,1,2,1,away,cle
Deaaron Fox,28,5,7,2,1,2,1,away,okc
domantas Sabonis,20,14,7,1,1,1,1,away,okc
harrison barnes,14,4,2,2,1,1,1,away,okc
kevin huerter,14,4,3,3,1,1,1,away,okc
keegan murray,11,5,2,3,1,1,1,away,okc
isaiah joe,17,4,2,4,1,1,1,home,sac
josh giddey,19,8,8,1,1,1,1,home,sac
luguentz dort,18,5,3,2,1,1,1,home,sac
jalen williams,17,5,4,1,1,2,1,home,sac
malik monk,15,2,2,2,1,2,1,away,okc
anthony edwards,30,6,5,4,1,2,1,away,gsw
rudy gobert,15,12,2,1,2,1,1,away,gsw
mike conley,12,3,7,2,1,1,1,away,gsw
jaden mcdaniels,12,4,2,2,1,1,1,away,gsw
kyle anderson,11,6,5,1,1,1,1,away,gsw
jordan poole,25,4,6,3,1,1,1,home,min
klay thompson,27,4,3,5,1,1,1,home,min
donte divincenzo,12,5,4,3,1,2,1,home,min
draymond green,9,8,7,1,1,1,1,home,min
kevon looney,8,11,2,1,1,1,1,home,min
damian lillard,37,5,9,5,1,1,1,home,hou
jerami grant,21,5,3,3,1,1,1,home,hou
cam reddish,14,3,2,2,1,1,1,home,hou
drew eubanks,9,8,2,1,1,1,1,home,hou
jabari smith,15,8,2,2,1,1,1,away,por
kenyon martin jr,17,7,2,1,1,1,1,away,por
jaesean tate,13,5,3,1,1,1,1,away,por
alperen sengun,19,10,5,1,1,1,1,away,por
kawhi leonard,25,7,4,2,1,2,1,away,den
paul george,22,6,5,3,1,2,1,away,den
russell westbrook,14,6,8,2,1,1,1,away,den
nikola jokic,24,14,10,1,1,1,1,home,lac
jamal murray,22,5,6,3,1,1,1,home,lac
marcus morris,10,3,2,2,1,1,1,away,den
mason plumlee,10,9,3,1,1,1,1,away,den
michael porter jr,17,6,2,3,1,1,1,home,lac
kentavious caldwell pope,11,3,2,2,1,1,1,home,lac
normal powell,16,2,2,2,1,1,1,away,den
eric gordon,9,2,2,2,1,1,1,away,den
