MIL BucksatDET PistonsTODAY 7:10PM			MIL BucksatDET PistonsTODAY 7:10PM			MIL BucksatDET PistonsTODAY 7:10PM			MIL BucksatDET PistonsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Bobby Portis	O 17.5  −105	U 17.5  −125	Bobby Portis	O 11.5  +110	U 11.5  −140	Jevon Carter	O 3.5  −115	U 3.5  −115	Bobby Portis	O 1.5  +135	U 1.5  −165
Brook Lopez	O 19.5  −115	U 19.5  −115	Brook Lopez	O 7.5  −110	U 7.5  −120	Joe Ingles	O 4.5  +120	U 4.5  −150	Brook Lopez	O 1.5  −140	U 1.5  +110
Grayson Allen	O 12.5  −120	U 12.5  −110	Grayson Allen	O 3.5  +100	U 3.5  −130	Khris Middleton	O 8.5  +100	U 8.5  −130	Grayson Allen	O 2.5  +120	U 2.5  −150
Jaden Ivey	O 17.5  −130	U 17.5  +100	Jaden Ivey	O 3.5  −130	U 3.5  +100	DAL MavericksatIND PacersTODAY 7:10PM			Jaden Ivey	O 1.5  −165	U 1.5  +135
Jalen Duren	O 9.5  +100	U 9.5  −130	Jalen Duren	O 7.5  +100	U 7.5  −130	PLAYER	OVER	UNDER	Jevon Carter	O 2.5  −110	U 2.5  −120
James Wiseman	O 13.5  −125	U 13.5  −105	James Wiseman	O 7.5  −110	U 7.5  −120	Andrew Nembhard	O 5.5  −145	U 5.5  +115	Joe Ingles	O 1.5  −145	U 1.5  +115
Jevon Carter	O 12.5  −135	U 12.5  +105	Jevon Carter	O 3.5  +105	U 3.5  −135	Kyrie Irving	O 5.5  +105	U 5.5  −135	Khris Middleton	O 2.5  +110	U 2.5  −140
Joe Ingles	O 8.5  −105	U 8.5  −125	Joe Ingles	O 3.5  +105	U 3.5  −135	Luka Doncic	O 8.5  +110	U 8.5  −140	Killian Hayes	O 1.5  +185	U 1.5  −230
Khris Middleton	O 22.5  −110	U 22.5  −120	Khris Middleton	O 5.5  −145	U 5.5  +115	HOU RocketsatNY KnicksTODAY 7:40PM			Pat Connaughton	O 1.5  −115	U 1.5  −115
Killian Hayes	O 12.5  +100	U 12.5  −130	Killian Hayes	O 2.5  −145	U 2.5  +115	PLAYER	OVER	UNDER	DAL MavericksatIND PacersTODAY 7:10PM		
Marvin Bagley	O 15.5  +105	U 15.5  −135	Marvin Bagley	O 7.5  +100	U 7.5  −130	Alperen Sengun	O 3.5  +110	U 3.5  −140	PLAYER	OVER	UNDER
Pat Connaughton	O 8.5  −110	U 8.5  −120	Pat Connaughton	O 4.5  −115	U 4.5  −115	Jalen Green	O 3.5  +130	U 3.5  −160	Aaron Nesmith	O 1.5  −185	U 1.5  +150
DAL MavericksatIND PacersTODAY 7:10PM			DAL MavericksatIND PacersTODAY 7:10PM			Julius Randle	O 4.5  +105	U 4.5  −135	Andrew Nembhard	O 1.5  −125	U 1.5  −105
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Kevin Porter Jr.	O 5.5  −120	U 5.5  −110	Christian Wood	O 1.5  +120	U 1.5  −150
Aaron Nesmith	O 12.5  −125	U 12.5  −105	Aaron Nesmith	O 4.5  +100	U 4.5  −130	RJ Barrett	O 2.5  −125	U 2.5  −105	Isaiah Jackson	O 0.5  +750	U 0.5  −1300
Andrew Nembhard	O 13.5  −125	U 13.5  −105	Andrew Nembhard	O 2.5  −135	U 2.5  +105	PHO SunsatUTA JazzTODAY 9:10PM			Jalen Smith	O 0.5  −140	U 0.5  +110
