DEN NuggetsatSA SpursTODAY 8:10PM			DEN NuggetsatSA SpursTODAY 8:10PM			DEN NuggetsatSA SpursTODAY 8:10PM		
Devin Vassell	O 16.5  −125	U 16.5  −105	Devin Vassell	O 3.5  +100	U 3.5  −130	Devin Vassell	O 2.5  −150	U 2.5  +120
