NY KnicksatORL MagicTODAY 7:10PM			NY KnicksatORL MagicTODAY 7:10PM			NY KnicksatORL MagicTODAY 7:10PM			NY KnicksatORL MagicTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Cole Anthony	O 14.5  −120	U 14.5  −110	Cole Anthony	O 4.5  −155	U 4.5  +125	Cole Anthony	O 3.5  −165	U 3.5  +135	Cole Anthony	O 1.5  +125	U 1.5  −155
Franz Wagner	O 18.5  −110	U 18.5  −120	Franz Wagner	O 4.5  −105	U 4.5  −125	Franz Wagner	O 3.5  −145	U 3.5  +115	Franz Wagner	O 1.5  −140	U 1.5  +110
Gary Harris	O 9.5  +130	U 9.5  −160	Gary Harris	O 2.5  +150	U 2.5  −185	Markelle Fultz	O 6.5  +115	U 6.5  −145	Gary Harris	O 2.5  +150	U 2.5  −185
Markelle Fultz	O 16.5  −115	U 16.5  −115	Markelle Fultz	O 4.5  +100	U 4.5  −130	Paolo Banchero	O 3.5  −160	U 3.5  +130	Markelle Fultz	O 0.5  +140	U 0.5  −175
Paolo Banchero	O 20.5  −105	U 20.5  −125	Paolo Banchero	O 7.5  +120	U 7.5  −150	Wendell Carter Jr.	O 2.5  +140	U 2.5  −165	Paolo Banchero	O 0.5  −235	U 0.5  +190
Wendell Carter Jr.	O 15.5  −115	U 15.5  −115	Wendell Carter Jr.	O 8.5  −135	U 8.5  +105	CLE CavaliersatBKN NetsTODAY 7:40PM			Wendell Carter Jr.	O 1.5  +110	U 1.5  −140
CLE CavaliersatBKN NetsTODAY 7:40PM			CLE CavaliersatBKN NetsTODAY 7:40PM			PLAYER	OVER	UNDER	CLE CavaliersatBKN NetsTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Caris LeVert	O 3.5  −110	U 3.5  −120	PLAYER	OVER	UNDER
Cameron Johnson	O 15.5  −120	U 15.5  −110	Cameron Johnson	O 4.5  −110	U 4.5  −120	Darius Garland	O 6.5  −130	U 6.5  +100	Cameron Johnson	O 2.5  +100	U 2.5  −130
Caris LeVert	O 11.5  +100	U 11.5  −130	Caris LeVert	O 3.5  −110	U 3.5  −120	Donovan Mitchell	O 3.5  −140	U 3.5  +110	Caris LeVert	O 1.5  +110	U 1.5  −140
Darius Garland	O 20.5  −105	U 20.5  −125	Darius Garland	O 2.5  +105	U 2.5  −135	Evan Mobley	O 2.5  +100	U 2.5  −130	Darius Garland	O 1.5  −190	U 1.5  +155
Donovan Mitchell	O 26.5  −125	U 26.5  −105	Donovan Mitchell	O 4.5  −105	U 4.5  −125	Mikal Bridges	O 2.5  +125	U 2.5  −155	Donovan Mitchell	O 2.5  −165	U 2.5  +135
Dorian Finney-Smith	O 6.5  −130	U 6.5  +100	Dorian Finney-Smith	O 4.5  +110	U 4.5  −140	Ricky Rubio	O 3.5  +100	U 3.5  −130	Dorian Finney-Smith	O 1.5  +110	U 1.5  −140
Evan Mobley	O 17.5  +100	U 17.5  −130	Evan Mobley	O 8.5  −145	U 8.5  +115	Royce O'Neale	O 2.5  +135	U 2.5  −165	Evan Mobley	O 0.5  +200	U 0.5  −250
Jarrett Allen	O 12.5  −125	U 12.5  −105	Isaac Okoro	O 2.5  +100	U 2.5  −130	Spencer Dinwiddie	O 8.5  −130	U 8.5  +100	Isaac Okoro	O 0.5  −160	U 0.5  +130
Mikal Bridges	O 23.5  −115	U 23.5  −115	Jarrett Allen	O 10.5  −115	U 10.5  −115	CHA HornetsatNO PelicansTODAY 8:10PM			Mikal Bridges	O 2.5  +115	U 2.5  −145
Nicolas Claxton	O 11.5  −130	U 11.5  +100	Mikal Bridges	O 3.5  −145	U 3.5  +115	PLAYER	OVER	UNDER	Ricky Rubio	O 0.5  −125	U 0.5  −105
Ricky Rubio	O 6.5  −120	U 6.5  −110	Nicolas Claxton	O 9.5  −110	U 9.5  −120	Brandon Ingram	O 5.5  −145	U 5.5  +115	Royce O'Neale	O 1.5  +105	U 1.5  −135
Royce O'Neale	O 6.5  −130	U 6.5  +100	Ricky Rubio	O 2.5  −110	U 2.5  −120	CJ McCollum	O 6.5  +120	U 6.5  −150	Spencer Dinwiddie	O 1.5  −190	U 1.5  +155
Spencer Dinwiddie	O 17.5  −120	U 17.5  −110	Royce O'Neale	O 4.5  +110	U 4.5  −140	Dennis Smith Jr.	O 5.5  −115	U 5.5  −115	CHA HornetsatNO PelicansTODAY 8:10PM		
CHA HornetsatNO PelicansTODAY 8:10PM			Spencer Dinwiddie	O 3.5  −110	U 3.5  −120	Gordon Hayward	O 4.5  −130	U 4.5  +100	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	CHA HornetsatNO PelicansTODAY 8:10PM			Herbert Jones	O 2.5  +100	U 2.5  −130	Brandon Ingram	O 1.5  −115	U 1.5  −115
Brandon Ingram	O 26.5  −125	U 26.5  −105	PLAYER	OVER	UNDER	Josh Richardson	O 2.5  +140	U 2.5  −175	CJ McCollum	O 2.5  −135	U 2.5  +105
CJ McCollum	O 21.5  −105	U 21.5  −125	Brandon Ingram	O 5.5  +125	U 5.5  −155	PJ Washington	O 2.5  +140	U 2.5  −175	Dennis Smith Jr.	O 0.5  +155	U 0.5  −190
Dennis Smith Jr.	O 9.5  −110	U 9.5  −120	CJ McCollum	O 4.5  −115	U 4.5  −115	Terry Rozier	O 5.5  −150	U 5.5  +120	Gordon Hayward	O 1.5  +190	U 1.5  −235
Gordon Hayward	O 14.5  −125	U 14.5  −105	Dennis Smith Jr.	O 3.5  +130	U 3.5  −160	OKC ThunderatLA ClippersTODAY 10:40PM			Herbert Jones	O 0.5  −135	U 0.5  +105
Herbert Jones	O 9.5  −110	U 9.5  −120	Gordon Hayward	O 4.5  +110	U 4.5  −140	PLAYER	OVER	UNDER	Jonas Valanciunas	O 0.5  +160	U 0.5  −195
Jonas Valanciunas	O 16.5  −115	U 16.5  −115	Herbert Jones	O 4.5  +125	U 4.5  −155	Jalen Williams	O 3.5  −105	U 3.5  −125	Josh Richardson	O 1.5  +120	U 1.5  −150
Josh Richardson	O 8.5  −125	U 8.5  −105	Jonas Valanciunas	O 12.5  −125	U 12.5  −105	Josh Giddey	O 5.5  −140	U 5.5  +110	Kelly Oubre Jr.	O 2.5  −110	U 2.5  −120
Kelly Oubre Jr.	O 22.5  −115	U 22.5  −115	Josh Richardson	O 2.5  +110	U 2.5  −140	Kawhi Leonard	O 4.5  +100	U 4.5  −130	Naji Marshall	O 0.5  −105	U 0.5  −125
Naji Marshall	O 6.5  −130	U 6.5  +100	Kelly Oubre Jr.	O 5.5  +100	U 5.5  −130	Russell Westbrook	O 8.5  +105	U 8.5  −135	PJ Washington	O 1.5  −160	U 1.5  +130
Nick Richards	O 10.5  −115	U 10.5  −115	Naji Marshall	O 2.5  −175	U 2.5  +140	Shai Gilgeous-Alexander	O 4.5  −120	U 4.5  −110	Terry Rozier	O 2.5  −120	U 2.5  −110
PJ Washington	O 14.5  −120	U 14.5  −110	Nick Richards	O 8.5  −130	U 8.5  +100				Trey Murphy III	O 2.5  −140	U 2.5  +110
Terry Rozier	O 21.5  −115	U 21.5  −115	PJ Washington	O 5.5  +100	U 5.5  −130				OKC ThunderatLA ClippersTODAY 10:40PM		
Trey Murphy III	O 15.5  −120	U 15.5  −110	Terry Rozier	O 3.5  −150	U 3.5  +120				PLAYER	OVER	UNDER
OKC ThunderatLA ClippersTODAY 10:40PM			Trey Murphy III	O 3.5  −150	U 3.5  +120				Isaiah Joe	O 2.5  +105	U 2.5  −135
PLAYER	OVER	UNDER	OKC ThunderatLA ClippersTODAY 10:40PM						Jalen Williams	O 1.5  +190	U 1.5  −235
Isaiah Joe	O 10.5  −115	U 10.5  −115	PLAYER	OVER	UNDER				Jaylin Williams	O 0.5  −150	U 0.5  +120
Ivica Zubac	O 11.5  −130	U 11.5  +100	Isaiah Joe	O 2.5  −175	U 2.5  +140				Josh Giddey	O 0.5  −185	U 0.5  +150
Jalen Williams	O 15.5  −110	U 15.5  −120	Ivica Zubac	O 10.5  +100	U 10.5  −130				Kawhi Leonard	O 2.5  −120	U 2.5  −110
Josh Giddey	O 15.5  −120	U 15.5  −110	Jalen Williams	O 6.5  +120	U 6.5  −150				Luguentz Dort	O 1.5  −145	U 1.5  +115
Kawhi Leonard	O 29.5  −120	U 29.5  −110	Jaylin Williams	O 4.5  −110	U 4.5  −120				Marcus Morris Sr.	O 1.5  −130	U 1.5  +100
Luguentz Dort	O 12.5  −125	U 12.5  −105	Josh Giddey	O 7.5  +110	U 7.5  −140				Russell Westbrook	O 1.5  +175	U 1.5  −215
Marcus Morris Sr.	O 10.5  +100	U 10.5  −130	Kawhi Leonard	O 7.5  +105	U 7.5  −135				Shai Gilgeous-Alexander	O 0.5  −145	U 0.5  +115
Mason Plumlee	O 8.5  −130	U 8.5  +100	Luguentz Dort	O 4.5  −115	U 4.5  −115						
Russell Westbrook	O 17.5  −105	U 17.5  −125	Marcus Morris Sr.	O 3.5  −110	U 3.5  −120						
Shai Gilgeous-Alexander	O 31.5  −105	U 31.5  −125	Mason Plumlee	O 7.5  −140	U 7.5  +110						
Russell Westbrook	O 17.5  −105	U 17.5  −125	Russell Westbrook	O 6.5  −105	U 6.5  −125						
Shai Gilgeous-Alexander	O 31.5  −105	U 31.5  −125	Shai Gilgeous-Alexander	O 5.5  +105	U 5.5  −135						
