DAL MavericksatMIA HeatTODAY 7:40PM			DAL MavericksatMIA HeatTODAY 7:40PM			DAL MavericksatMIA HeatTODAY 7:40PM			DAL MavericksatMIA HeatTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Christian Wood	O 9.5  −115	U 9.5  −115	Christian Wood	O 4.5  +110	U 4.5  −140	Gabe Vincent	O 2.5  +125	U 2.5  −155	Christian Wood	O 0.5  −175	U 0.5  +140
Gabe Vincent	O 9.5  −115	U 9.5  −115	Dwight Powell	O 3.5  +115	U 3.5  −145	Jimmy Butler	O 5.5  −105	U 5.5  −125	Gabe Vincent	O 1.5  −125	U 1.5  −105
Jaden Hardy	O 8.5  −105	U 8.5  −125	Gabe Vincent	O 2.5  +145	U 2.5  −180	Kyle Lowry	O 3.5  +110	U 3.5  −140	Jaden Hardy	O 1.5  +100	U 1.5  −130
Jimmy Butler	O 26.5  −115	U 26.5  −115	Jimmy Butler	O 7.5  +105	U 7.5  −135	Kyrie Irving	O 4.5  −155	U 4.5  +125	Jimmy Butler	O 0.5  +130	U 0.5  −160
Kevin Love	O 8.5  −140	U 8.5  +110	Josh Green	O 2.5  +130	U 2.5  −160	Luka Doncic	O 7.5  −135	U 7.5  +105	Josh Green	O 0.5  −125	U 0.5  −105
Kyle Lowry	O 7.5  −130	U 7.5  +100	Kevin Love	O 6.5  −135	U 6.5  +105	Tyler Herro	O 4.5  +115	U 4.5  −145	Kevin Love	O 1.5  −105	U 1.5  −125
Kyrie Irving	O 23.5  −120	U 23.5  −110	Kyle Lowry	O 3.5  +100	U 3.5  −130	LA ClippersatNO PelicansTODAY 8:40PM			Kyle Lowry	O 1.5  +135	U 1.5  −165
Luka Doncic	O 29.5  −125	U 29.5  −105	Kyrie Irving	O 4.5  −135	U 4.5  +105	PLAYER	OVER	UNDER	Kyrie Irving	O 2.5  −155	U 2.5  +125
Reggie Bullock	O 7.5  −120	U 7.5  −110	Luka Doncic	O 8.5  −105	U 8.5  −125	Brandon Ingram	O 6.5  −115	U 6.5  −115	Luka Doncic	O 3.5  +110	U 3.5  −140
Tim Hardaway Jr.	O 13.5  −110	U 13.5  −120	Maxi Kleber	O 3.5  −135	U 3.5  +105	CJ McCollum	O 5.5  −105	U 5.5  −125	Maxi Kleber	O 1.5  +170	U 1.5  −210
Tyler Herro	O 21.5  −105	U 21.5  −125	Reggie Bullock	O 3.5  −125	U 3.5  −105	Herbert Jones	O 2.5  +135	U 2.5  −165	Reggie Bullock	O 2.5  +145	U 2.5  −180
LA ClippersatNO PelicansTODAY 8:40PM			Tim Hardaway Jr.	O 3.5  −110	U 3.5  −120	Jonas Valanciunas	O 2.5  +120	U 2.5  −150	Tim Hardaway Jr.	O 2.5  −140	U 2.5  +110
PLAYER	OVER	UNDER	Tyler Herro	O 5.5  −110	U 5.5  −120	Kawhi Leonard	O 3.5  −145	U 3.5  +115	Tyler Herro	O 2.5  −145	U 2.5  +115
Brandon Ingram	O 27.5  −105	U 27.5  −125	LA ClippersatNO PelicansTODAY 8:40PM			Russell Westbrook	O 7.5  +100	U 7.5  −130	LA ClippersatNO PelicansTODAY 8:40PM		
CJ McCollum	O 21.5  −105	U 21.5  −125	PLAYER	OVER	UNDER				PLAYER	OVER	UNDER
Herbert Jones	O 8.5  +100	U 8.5  −130	Brandon Ingram	O 5.5  −150	U 5.5  +120				Brandon Ingram	O 1.5  +130	U 1.5  −160
Ivica Zubac	O 10.5  −115	U 10.5  −115	CJ McCollum	O 3.5  −145	U 3.5  +115				CJ McCollum	O 2.5  −145	U 2.5  +115
Jonas Valanciunas	O 15.5  −110	U 15.5  −120	Herbert Jones	O 4.5  +130	U 4.5  −160				Herbert Jones	O 0.5  −125	U 0.5  −105
Josh Richardson	O 7.5  −125	U 7.5  −105	Ivica Zubac	O 8.5  +100	U 8.5  −130				Jonas Valanciunas	O 0.5  +170	U 0.5  −210
Kawhi Leonard	O 23.5  −140	U 23.5  +110	Jonas Valanciunas	O 11.5  −155	U 11.5  +125				Josh Richardson	O 1.5  +135	U 1.5  −165
Mason Plumlee	O 6.5  +105	U 6.5  −135	Josh Richardson	O 2.5  +110	U 2.5  −140				Kawhi Leonard	O 2.5  +150	U 2.5  −185
Naji Marshall	O 6.5  −115	U 6.5  −115	Kawhi Leonard	O 5.5  −145	U 5.5  +115				Larry Nance Jr.	O 0.5  +370	U 0.5  −500
Nicolas Batum	O 7.5  +115	U 7.5  −145	Larry Nance Jr.	O 4.5  −140	U 4.5  +110				Naji Marshall	O 0.5  +130	U 0.5  −160
Norman Powell	O 14.5  −120	U 14.5  −110	Mason Plumlee	O 5.5  −115	U 5.5  −115				Nicolas Batum	O 1.5  −150	U 1.5  +120
Russell Westbrook	O 14.5  −120	U 14.5  −110	Naji Marshall	O 2.5  −165	U 2.5  +135				Norman Powell	O 1.5  −150	U 1.5  +120
Trey Murphy III	O 16.5  −110	U 16.5  −120	Nicolas Batum	O 3.5  +120	U 3.5  −150				Russell Westbrook	O 1.5  +185	U 1.5  −230
Norman Powell	O 14.5  −120	U 14.5  −110	Norman Powell	O 2.5  +120	U 2.5  −150				Trey Murphy III	O 3.5  +130	U 3.5  −160
Russell Westbrook	O 14.5  −120	U 14.5  −110	Russell Westbrook	O 4.5  −140	U 4.5  +110						
Trey Murphy III	O 16.5  −110	U 16.5  −120	Trey Murphy III	O 3.5  +110	U 3.5  −140						
