TOR RaptorsatPHI 76ersTODAY 7:10PM			TOR RaptorsatPHI 76ersTODAY 7:10PM			TOR RaptorsatPHI 76ersTODAY 7:10PM			TOR RaptorsatPHI 76ersTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Fred VanVleet	O 19.5  −105	U 19.5  −125	Fred VanVleet	O 3.5  −120	U 3.5  −110	Fred VanVleet	O 7.5  +115	U 7.5  −145	Fred VanVleet	O 2.5  −145	U 2.5  +115
Jakob Poeltl	O 12.5  +100	U 12.5  −130	Jakob Poeltl	O 8.5  −130	U 8.5  +100	James Harden	O 10.5  +100	U 10.5  −130	James Harden	O 2.5  −105	U 2.5  −125
James Harden	O 20.5  −110	U 20.5  −120	James Harden	O 5.5  −145	U 5.5  +115	Joel Embiid	O 3.5  −130	U 3.5  +100	Joel Embiid	O 0.5  −145	U 0.5  +115
Joel Embiid	O 33.5  −110	U 33.5  −120	Joel Embiid	O 10.5  +100	U 10.5  −130	Pascal Siakam	O 4.5  −185	U 4.5  +150	OG Anunoby	O 2.5  +115	U 2.5  −145
OG Anunoby	O 15.5  −105	U 15.5  −125	OG Anunoby	O 4.5  +115	U 4.5  −145	Scottie Barnes	O 4.5  +120	U 4.5  −150	P.J. Tucker	O 0.5  +105	U 0.5  −135
Pascal Siakam	O 21.5  −110	U 21.5  −120	P.J. Tucker	O 3.5  −130	U 3.5  +100	Tyrese Maxey	O 3.5  +100	U 3.5  −130	Pascal Siakam	O 1.5  +140	U 1.5  −175
Scottie Barnes	O 15.5  −110	U 15.5  −120	Pascal Siakam	O 7.5  −115	U 7.5  −115	CHI BullsatCHA HornetsTODAY 7:10PM			Scottie Barnes	O 0.5  −145	U 0.5  +115
Tyrese Maxey	O 20.5  −110	U 20.5  −120	Scottie Barnes	O 6.5  +110	U 6.5  −140	PLAYER	OVER	UNDER	Tyrese Maxey	O 2.5  −105	U 2.5  −125
CHI BullsatCHA HornetsTODAY 7:10PM			Tyrese Maxey	O 3.5  +135	U 3.5  −165	DeMar DeRozan	O 5.5  +120	U 5.5  −150	CHI BullsatCHA HornetsTODAY 7:10PM		
PLAYER	OVER	UNDER	CHI BullsatCHA HornetsTODAY 7:10PM			Nikola Vucevic	O 3.5  +120	U 3.5  −150	PLAYER	OVER	UNDER
DeMar DeRozan	O 22.5  −110	U 22.5  −120	PLAYER	OVER	UNDER	Patrick Beverley	O 2.5  −140	U 2.5  +110	DeMar DeRozan	O 0.5  −130	U 0.5  +100
Nikola Vucevic	O 17.5  −125	U 17.5  −105	DeMar DeRozan	O 4.5  −150	U 4.5  +120	PJ Washington	O 3.5  +110	U 3.5  −140	Nikola Vucevic	O 1.5  −105	U 1.5  −125
Patrick Beverley	O 6.5  −105	U 6.5  −125	Nikola Vucevic	O 12.5  −110	U 12.5  −120	Zach LaVine	O 4.5  +115	U 4.5  −145	Patrick Beverley	O 1.5  +165	U 1.5  −205
PJ Washington	O 19.5  −120	U 19.5  −110	Patrick Beverley	O 4.5  +115	U 4.5  −145	OKC ThunderatIND PacersTODAY 7:10PM			PJ Washington	O 2.5  −105	U 2.5  −125
Zach LaVine	O 26.5  −105	U 26.5  −125	PJ Washington	O 5.5  +100	U 5.5  −130	PLAYER	OVER	UNDER	Zach LaVine	O 2.5  −115	U 2.5  −115
OKC ThunderatIND PacersTODAY 7:10PM			Zach LaVine	O 4.5  +115	U 4.5  −145	Andrew Nembhard	O 6.5  −125	U 6.5  −105	OKC ThunderatIND PacersTODAY 7:10PM		
PLAYER	OVER	UNDER	OKC ThunderatIND PacersTODAY 7:10PM			T.J. McConnell	O 6.5  −150	U 6.5  +120	PLAYER	OVER	UNDER
Aaron Nesmith	O 12.5  −110	U 12.5  −120	PLAYER	OVER	UNDER	ORL MagicatWAS WizardsTODAY 7:10PM			Aaron Nesmith	O 1.5  −165	U 1.5  +135
Andrew Nembhard	O 13.5  −150	U 13.5  +120	Aaron Nesmith	O 3.5  −135	U 3.5  +105	PLAYER	OVER	UNDER	Andrew Nembhard	O 1.5  −115	U 1.5  −115
Bennedict Mathurin	O 20.5  −105	U 20.5  −125	Andrew Nembhard	O 2.5  −125	U 2.5  −105	Cole Anthony	O 3.5  +125	U 3.5  −155	Bennedict Mathurin	O 1.5  −125	U 1.5  −105
T.J. McConnell	O 11.5  −105	U 11.5  −125	Bennedict Mathurin	O 4.5  −110	U 4.5  −120	Deni Avdija	O 4.5  −130	U 4.5  +100	T.J. McConnell	O 0.5  +140	U 0.5  −175
ORL MagicatWAS WizardsTODAY 7:10PM			T.J. McConnell	O 3.5  −130	U 3.5  +100	Franz Wagner	O 3.5  −125	U 3.5  −105	ORL MagicatWAS WizardsTODAY 7:10PM		
PLAYER	OVER	UNDER	ORL MagicatWAS WizardsTODAY 7:10PM			Jalen Suggs	O 2.5  +150	U 2.5  −185	PLAYER	OVER	UNDER
Cole Anthony	O 13.5  −125	U 13.5  −105	PLAYER	OVER	UNDER	Kristaps Porzingis	O 3.5  +140	U 3.5  −175	Cole Anthony	O 1.5  +180	U 1.5  −220
Corey Kispert	O 14.5  −120	U 14.5  −110	Cole Anthony	O 4.5  −150	U 4.5  +120	Markelle Fultz	O 5.5  −130	U 5.5  +100	Corey Kispert	O 2.5  −135	U 2.5  +105
Deni Avdija	O 15.5  −105	U 15.5  −125	Corey Kispert	O 3.5  +125	U 3.5  −155	Monte Morris	O 5.5  −125	U 5.5  −105	Deni Avdija	O 1.5  +110	U 1.5  −140
Franz Wagner	O 17.5  −115	U 17.5  −115	Deni Avdija	O 8.5  −135	U 8.5  +105	Paolo Banchero	O 3.5  −130	U 3.5  +100	Franz Wagner	O 1.5  −110	U 1.5  −120
Gary Harris	O 7.5  −115	U 7.5  −115	Franz Wagner	O 4.5  −110	U 4.5  −120	NY KnicksatCLE CavaliersTODAY 7:40PM			Gary Harris	O 1.5  −145	U 1.5  +115
Jalen Suggs	O 9.5  −115	U 9.5  −115	Jalen Suggs	O 2.5  −175	U 2.5  +140	PLAYER	OVER	UNDER	Jalen Suggs	O 0.5  −205	U 0.5  +165
Kristaps Porzingis	O 26.5  −120	U 26.5  −110	Kristaps Porzingis	O 8.5  +115	U 8.5  −145	Caris LeVert	O 3.5  −145	U 3.5  +115	Kristaps Porzingis	O 2.5  +100	U 2.5  −130
Markelle Fultz	O 14.5  −120	U 14.5  −110	Markelle Fultz	O 3.5  −165	U 3.5  +135	Darius Garland	O 7.5  +115	U 7.5  −145	Markelle Fultz	O 0.5  +190	U 0.5  −235
Monte Morris	O 11.5  −115	U 11.5  −115	Monte Morris	O 3.5  +120	U 3.5  −150	Donovan Mitchell	O 3.5  −130	U 3.5  +100	Monte Morris	O 1.5  +180	U 1.5  −220
Paolo Banchero	O 20.5  −105	U 20.5  −125	Paolo Banchero	O 7.5  +100	U 7.5  −130	Evan Mobley	O 2.5  −145	U 2.5  +115	Paolo Banchero	O 0.5  −230	U 0.5  +185
Wendell Carter Jr.	O 15.5  −130	U 15.5  +100	Wendell Carter Jr.	O 9.5  +115	U 9.5  −145	Jalen Brunson	O 6.5  +120	U 6.5  −150	Wendell Carter Jr.	O 1.5  +110	U 1.5  −140
NY KnicksatCLE CavaliersTODAY 7:40PM			NY KnicksatCLE CavaliersTODAY 7:40PM			RJ Barrett	O 2.5  +130	U 2.5  −160	NY KnicksatCLE CavaliersTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	ATL HawksatBKN NetsTODAY 7:40PM			PLAYER	OVER	UNDER
Caris LeVert	O 13.5  −115	U 13.5  −115	Caris LeVert	O 4.5  +100	U 4.5  −130	PLAYER	OVER	UNDER	Caris LeVert	O 1.5  −150	U 1.5  +120
Darius Garland	O 22.5  −120	U 22.5  −110	Darius Garland	O 2.5  −155	U 2.5  +125	Cameron Johnson	O 2.5  +150	U 2.5  −185	Darius Garland	O 2.5  +125	U 2.5  −155
Donovan Mitchell	O 28.5  −110	U 28.5  −120	Donovan Mitchell	O 5.5  +125	U 5.5  −155	Dejounte Murray	O 5.5  +110	U 5.5  −140	Donovan Mitchell	O 3.5  +115	U 3.5  −145
Evan Mobley	O 17.5  +120	U 17.5  −150	Evan Mobley	O 9.5  −120	U 9.5  −110	Mikal Bridges	O 2.5  −150	U 2.5  +120	Evan Mobley	O 0.5  +210	U 0.5  −265
Jalen Brunson	O 24.5  −125	U 24.5  −105	Jalen Brunson	O 3.5  −120	U 3.5  −110	Nicolas Claxton	O 2.5  +155	U 2.5  −190	Jalen Brunson	O 1.5  −190	U 1.5  +155
Lamar Stevens	O 8.5  +100	U 8.5  −130	Lamar Stevens	O 5.5  −150	U 5.5  +120	Royce O'Neale	O 2.5  +105	U 2.5  −135	Lamar Stevens	O 0.5  +100	U 0.5  −130
Quentin Grimes	O 12.5  +100	U 12.5  −130	Mitchell Robinson	O 9.5  −115	U 9.5  −115	Spencer Dinwiddie	O 9.5  +110	U 9.5  −140	Quentin Grimes	O 2.5  +100	U 2.5  −130
RJ Barrett	O 20.5  −105	U 20.5  −125	Quentin Grimes	O 3.5  −115	U 3.5  −115	Trae Young	O 9.5  −115	U 9.5  −115	RJ Barrett	O 1.5  −120	U 1.5  −110
ATL HawksatBKN NetsTODAY 7:40PM			RJ Barrett	O 4.5  −140	U 4.5  +110	LA LakersatMIN TimberwolvesTODAY 8:10PM			ATL HawksatBKN NetsTODAY 7:40PM		
PLAYER	OVER	UNDER	ATL HawksatBKN NetsTODAY 7:40PM			PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Cameron Johnson	O 16.5  −120	U 16.5  −110	PLAYER	OVER	UNDER	Anthony Davis	O 2.5  +105	U 2.5  −135	Cameron Johnson	O 2.5  −105	U 2.5  −125
Clint Capela	O 11.5  −110	U 11.5  −120	Cameron Johnson	O 4.5  +100	U 4.5  −130	Anthony Edwards	O 4.5  −105	U 4.5  −125	Dejounte Murray	O 1.5  +115	U 1.5  −145
