BKN NetsatMIA HeatTODAY 8:10PM			BKN NetsatMIA HeatTODAY 8:10PM			BKN NetsatMIA HeatTODAY 8:10PM			BKN NetsatMIA HeatTODAY 8:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Bam Adebayo	O 20.5  −120	U 20.5  −110	Bam Adebayo	O 9.5  −105	U 9.5  −125	Bam Adebayo	O 3.5  +135	U 3.5  −165	Caleb Martin	O 0.5  −215	U 0.5  +175
Caleb Martin	O 8.5  −115	U 8.5  −115	Caleb Martin	O 4.5  +100	U 4.5  −130	Jimmy Butler	O 4.5  −140	U 4.5  +110	Cameron Johnson	O 2.5  +110	U 2.5  −140
Cameron Johnson	O 14.5  −130	U 14.5  +100	Cameron Johnson	O 3.5  −155	U 3.5  +125	Kyle Lowry	O 3.5  +110	U 3.5  −140	Dorian Finney-Smith	O 1.5  +120	U 1.5  −150
Dorian Finney-Smith	O 6.5  −115	U 6.5  −115	Dorian Finney-Smith	O 3.5  −105	U 3.5  −125	Mikal Bridges	O 2.5  +130	U 2.5  −160	Gabe Vincent	O 1.5  −105	U 1.5  −125
Gabe Vincent	O 8.5  −105	U 8.5  −125	Jimmy Butler	O 6.5  −105	U 6.5  −125	Royce O'Neale	O 2.5  −110	U 2.5  −120	Jimmy Butler	O 0.5  +150	U 0.5  −185
Jimmy Butler	O 24.5  −125	U 24.5  −105	Kevin Love	O 6.5  +100	U 6.5  −130	Spencer Dinwiddie	O 8.5  −125	U 8.5  −105	Joe Harris	O 1.5  −130	U 1.5  +100
Joe Harris	O 6.5  −110	U 6.5  −120	Kyle Lowry	O 3.5  +130	U 3.5  −160	Tyler Herro	O 3.5  −125	U 3.5  −105	Kevin Love	O 1.5  −105	U 1.5  −125
Kevin Love	O 8.5  −105	U 8.5  −125	Max Strus	O 2.5  +130	U 2.5  −160	MIL BucksatDEN NuggetsTODAY 9:10PM			Kyle Lowry	O 1.5  +125	U 1.5  −155
Kyle Lowry	O 7.5  −125	U 7.5  −105	Mikal Bridges	O 3.5  −145	U 3.5  +115	PLAYER	OVER	UNDER	Max Strus	O 1.5  −150	U 1.5  +120
Max Strus	O 9.5  +100	U 9.5  −130	Nicolas Claxton	O 8.5  −115	U 8.5  −115	Aaron Gordon	O 3.5  +140	U 3.5  −175	Mikal Bridges	O 2.5  +115	U 2.5  −145
