CHI BullsatPHI 76ersTODAY 7:10PM			CHI BullsatPHI 76ersTODAY 7:10PM			CHI BullsatPHI 76ersTODAY 7:10PM			CHI BullsatPHI 76ersTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Coby White	O 9.5  −105	U 9.5  −125	Coby White	O 2.5  −105	U 2.5  −125	Coby White	O 2.5  −120	U 2.5  −110	Ayo Dosunmu	O 0.5  +120	U 0.5  −150
De'Anthony Melton	O 7.5  +115	U 7.5  −145	Danuel House Jr.	O 2.5  +125	U 2.5  −155	DeMar DeRozan	O 4.5  −135	U 4.5  +105	Coby White	O 1.5  −110	U 1.5  −120
DeMar DeRozan	O 22.5  −150	U 22.5  +120	De'Anthony Melton	O 3.5  +120	U 3.5  −150	James Harden	O 10.5  −125	U 10.5  −105	Danuel House Jr.	O 0.5  −165	U 0.5  +135
Georges Niang	O 6.5  +100	U 6.5  −130	DeMar DeRozan	O 4.5  +100	U 4.5  −130	Joel Embiid	O 3.5  −145	U 3.5  +115	De'Anthony Melton	O 1.5  +115	U 1.5  −145
James Harden	O 21.5  +100	U 21.5  −130	James Harden	O 6.5  −115	U 6.5  −115	Nikola Vucevic	O 2.5  −145	U 2.5  +115	DeMar DeRozan	O 0.5  −130	U 0.5  +100
Joel Embiid	O 33.5  −125	U 33.5  −105	Joel Embiid	O 10.5  −120	U 10.5  −110	Patrick Beverley	O 3.5  +125	U 3.5  −155	Georges Niang	O 1.5  +100	U 1.5  −130
Nikola Vucevic	O 15.5  −130	U 15.5  +100	Nikola Vucevic	O 10.5  −105	U 10.5  −125	Tyrese Maxey	O 2.5  −140	U 2.5  +110	James Harden	O 2.5  −125	U 2.5  −105
Patrick Beverley	O 6.5  +115	U 6.5  −145	Patrick Beverley	O 4.5  +100	U 4.5  −130	Zach LaVine	O 3.5  −130	U 3.5  +100	Joel Embiid	O 0.5  −160	U 0.5  +130
Patrick Williams	O 9.5  −105	U 9.5  −125	Patrick Williams	O 3.5  −145	U 3.5  +115	IND PacersatCHA HornetsTODAY 7:10PM			Nikola Vucevic	O 1.5  −115	U 1.5  −115
Tobias Harris	O 11.5  −135	U 11.5  +105	Tobias Harris	O 5.5  +120	U 5.5  −150	PLAYER	OVER	UNDER	Patrick Beverley	O 1.5  +175	U 1.5  −215
Tyrese Maxey	O 18.5  −105	U 18.5  −125	Tyrese Maxey	O 2.5  −120	U 2.5  −110	Andrew Nembhard	O 5.5  −125	U 5.5  −105	Patrick Williams	O 1.5  +180	U 1.5  −220
Zach LaVine	O 25.5  +100	U 25.5  −130	Zach LaVine	O 4.5  −105	U 4.5  −130	Buddy Hield	O 2.5  −165	U 2.5  +135	Tobias Harris	O 1.5  +100	U 1.5  −130
IND PacersatCHA HornetsTODAY 7:10PM			IND PacersatCHA HornetsTODAY 7:10PM			Dennis Smith Jr.	O 6.5  +125	U 6.5  −155	Tyrese Maxey	O 2.5  +115	U 2.5  −145
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Gordon Hayward	O 4.5  −135	U 4.5  +105	Zach LaVine	O 2.5  −110	U 2.5  −120
Aaron Nesmith	O 11.5  −130	U 11.5  +100	Aaron Nesmith	O 4.5  +105	U 4.5  −135	Jordan Nwora	O 2.5  +145	U 2.5  −180	IND PacersatCHA HornetsTODAY 7:10PM		
Andrew Nembhard	O 12.5  −130	U 12.5  +100	Andrew Nembhard	O 2.5  −120	U 2.5  −110	T.J. McConnell	O 6.5  −135	U 6.5  +105	PLAYER	OVER	UNDER
Bennedict Mathurin	O 16.5  −115	U 16.5  −115	Bennedict Mathurin	O 4.5  +110	U 4.5  −140	Terry Rozier	O 5.5  −150	U 5.5  +120	Aaron Nesmith	O 1.5  −140	U 1.5  +110
Buddy Hield	O 15.5  −125	U 15.5  −105	Buddy Hield	O 4.5  −160	U 4.5  +130	MIN TimberwolvesatNY KnicksTODAY 7:40PM			Andrew Nembhard	O 1.5  −120	U 1.5  −110
Dennis Smith Jr.	O 10.5  −115	U 10.5  −115	Dennis Smith Jr.	O 3.5  −145	U 3.5  +115	PLAYER	OVER	UNDER	Bennedict Mathurin	O 1.5  +155	U 1.5  −190
Gordon Hayward	O 15.5  −110	U 15.5  −120	Gordon Hayward	O 4.5  +110	U 4.5  −140	Immanuel Quickley	O 2.5  +120	U 2.5  −150	Buddy Hield	O 3.5  +110	U 3.5  −140
Jalen Smith	O 10.5  −110	U 10.5  −120	Jalen Smith	O 6.5  −125	U 6.5  −105	Jalen Brunson	O 5.5  +140	U 5.5  −175	Dennis Smith Jr.	O 0.5  +135	U 0.5  −165
Jordan Nwora	O 11.5  −110	U 11.5  −120	Jordan Nwora	O 4.5  −115	U 4.5  −115	Josh Hart	O 3.5  +105	U 3.5  −135	Gordon Hayward	O 0.5  −205	U 0.5  +165
Kelly Oubre Jr.	O 23.5  −115	U 23.5  −115	Kelly Oubre Jr.	O 5.5  −155	U 5.5  +125	Julius Randle	O 3.5  −145	U 3.5  +115	Jalen Smith	O 0.5  −115	U 0.5  −115
Myles Turner	O 19.5  −115	U 19.5  −115	Myles Turner	O 8.5  +110	U 8.5  −140	Kyle Anderson	O 5.5  −135	U 5.5  +105	Jordan Nwora	O 1.5  −105	U 1.5  −125
Nick Richards	O 10.5  +105	U 10.5  −135	Nick Richards	O 8.5  −135	U 8.5  +105	Mike Conley	O 5.5  −125	U 5.5  −105	Kelly Oubre Jr.	O 2.5  +100	U 2.5  −130
PJ Washington	O 16.5  −130	U 16.5  +100	PJ Washington	O 5.5  −145	U 5.5  +115	RJ Barrett	O 2.5  +140	U 2.5  −175	Myles Turner	O 1.5  +100	U 1.5  −130
T.J. McConnell	O 10.5  −110	U 10.5  −120	T.J. McConnell	O 3.5  −140	U 3.5  +110	GS WarriorsatHOU RocketsTODAY 8:10PM			PJ Washington	O 1.5  −180	U 1.5  +145
Terry Rozier	O 22.5  −120	U 22.5  −110	Terry Rozier	O 4.5  +120	U 4.5  −150	PLAYER	OVER	UNDER	T.J. McConnell	O 0.5  +135	U 0.5  −165
