CLE CavaliersatORL MagicTODAY 7:10PM			CLE CavaliersatORL MagicTODAY 7:10PM			CLE CavaliersatORL MagicTODAY 7:10PM			CLE CavaliersatORL MagicTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Cole Anthony	O 14.5  −115	U 14.5  −115	Cole Anthony	O 4.5  −130	U 4.5  +100	Cole Anthony	O 3.5  −110	U 3.5  −120	Cole Anthony	O 1.5  +135	U 1.5  −165
Franz Wagner	O 17.5  −115	U 17.5  −115	Franz Wagner	O 4.5  −105	U 4.5  −125	Franz Wagner	O 3.5  −110	U 3.5  −120	Franz Wagner	O 1.5  +105	U 1.5  −135
Gary Harris	O 7.5  −115	U 7.5  −115	Jalen Suggs	O 2.5  −150	U 2.5  +120	Jalen Suggs	O 2.5  +150	U 2.5  −185	Gary Harris	O 1.5  −130	U 1.5  +100
Jalen Suggs	O 9.5  −120	U 9.5  −110	Markelle Fultz	O 3.5  −135	U 3.5  +105	Markelle Fultz	O 5.5  −145	U 5.5  +115	Jalen Suggs	O 0.5  −220	U 0.5  +180
Markelle Fultz	O 15.5  −110	U 15.5  −120	Paolo Banchero	O 7.5  −140	U 7.5  +110	Paolo Banchero	O 3.5  −120	U 3.5  −110	Markelle Fultz	O 0.5  +160	U 0.5  −195
Paolo Banchero	O 19.5  −135	U 19.5  +105	Wendell Carter Jr.	O 9.5  −125	U 9.5  −105	MIA HeatatPHI 76ersTODAY 7:30PM			Paolo Banchero	O 1.5  +175	U 1.5  −215
Wendell Carter Jr.	O 15.5  −115	U 15.5  −115	MIA HeatatPHI 76ersTODAY 7:30PM			PLAYER	OVER	UNDER	Wendell Carter Jr.	O 1.5  −125	U 1.5  −105
MIA HeatatPHI 76ersTODAY 7:30PM			PLAYER	OVER	UNDER	Bam Adebayo	O 2.5  −150	U 2.5  +120	MIA HeatatPHI 76ersTODAY 7:30PM		
PLAYER	OVER	UNDER	Bam Adebayo	O 7.5  −125	U 7.5  −105	James Harden	O 10.5  +115	U 10.5  −145	PLAYER	OVER	UNDER
Bam Adebayo	O 17.5  −105	U 17.5  −125	James Harden	O 5.5  −105	U 5.5  −125	Jimmy Butler	O 5.5  −130	U 5.5  +100	James Harden	O 2.5  −140	U 2.5  +110
James Harden	O 19.5  −150	U 19.5  +105	Jimmy Butler	O 5.5  +100	U 5.5  −130	Joel Embiid	O 3.5  +100	U 3.5  −130	Jimmy Butler	O 0.5  +125	U 0.5  −155
Jimmy Butler	O 23.5  −125	U 23.5  −105	Joel Embiid	O 10.5  +110	U 10.5  −140	Tobias Harris	O 2.5  +150	U 2.5  −185	Joel Embiid	O 0.5  −150	U 0.5  +120
Joel Embiid	O 31.5  +100	U 31.5  −130	Tobias Harris	O 5.5  +125	U 5.5  −155	Tyler Herro	O 3.5  +115	U 3.5  −145	Tobias Harris	O 1.5  −105	U 1.5  −125
Tobias Harris	O 12.5  −115	U 12.5  −115	Tyler Herro	O 4.5  −110	U 4.5  −120	POR Trail BlazersatSA SpursTODAY 8:10PM			Tyler Herro	O 2.5  −145	U 2.5  +115
Tyler Herro	O 18.5  −120	U 18.5  −110	POR Trail BlazersatSA SpursTODAY 8:10PM			PLAYER	OVER	UNDER	POR Trail BlazersatSA SpursTODAY 8:10PM		
POR Trail BlazersatSA SpursTODAY 8:10PM			PLAYER	OVER	UNDER	Drew Eubanks	O 2.5  +105	U 2.5  −135	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	Drew Eubanks	O 7.5  −135	U 7.5  +105	Keita Bates-Diop	O 2.5  +150	U 2.5  −185	Drew Eubanks	O 0.5  +300	U 0.5  −400
Drew Eubanks	O 11.5  −125	U 11.5  −105	Keita Bates-Diop	O 5.5  +125	U 5.5  −155	Malaki Branham	O 2.5  +105	U 2.5  −135	Keita Bates-Diop	O 1.5  +165	U 1.5  −205
Keita Bates-Diop	O 13.5  −105	U 13.5  −125	Malaki Branham	O 3.5  −130	U 3.5  +100	Tre Jones	O 6.5  −145	U 6.5  +115	Malaki Branham	O 2.5  +155	U 2.5  −190
Malaki Branham	O 15.5  −110	U 15.5  −120	Tre Jones	O 3.5  +100	U 3.5  −130	Zach Collins	O 3.5  −105	U 3.5  −125	Tre Jones	O 0.5  −135	U 0.5  +105
Tre Jones	O 14.5  +100	U 14.5  −130	Zach Collins	O 7.5  −125	U 7.5  −105	OKC ThunderatUTA JazzTODAY 9:10PM			Zach Collins	O 1.5  +105	U 1.5  −135
Zach Collins	O 17.5  +110	U 17.5  −140	OKC ThunderatUTA JazzTODAY 9:10PM			PLAYER	OVER	UNDER	OKC ThunderatUTA JazzTODAY 9:10PM		
OKC ThunderatUTA JazzTODAY 9:10PM			PLAYER	OVER	UNDER	Jalen Williams	O 3.5  −150	U 3.5  +120	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	Jalen Williams	O 5.5  −135	U 5.5  +105	Josh Giddey	O 6.5  −110	U 6.5  −120	Jalen Williams	O 1.5  +190	U 1.5  −235
Jalen Williams	O 17.5  −105	U 17.5  −125	Jaylin Williams	O 5.5  −140	U 5.5  +110	Kelly Olynyk	O 4.5  −115	U 4.5  −115	Jaylin Williams	O 0.5  −180	U 0.5  +145
Jaylin Williams	O 6.5  −115	U 6.5  −115	Josh Giddey	O 8.5  −120	U 8.5  −110	Shai Gilgeous-Alexander	O 4.5  −155	U 4.5  +125	Josh Giddey	O 1.5  +145	U 1.5  −180
Josh Giddey	O 18.5  +105	U 18.5  −135	Kelly Olynyk	O 8.5  −115	U 8.5  −115	Talen Horton-Tucker	O 6.5  −105	U 6.5  −125	Kelly Olynyk	O 1.5  +115	U 1.5  −145
Kelly Olynyk	O 15.5  +100	U 15.5  −130	Ochai Agbaji	O 3.5  −155	U 3.5  +125	DEN NuggetsatPHO SunsTODAY 10:00PM			Ochai Agbaji	O 2.5  −105	U 2.5  −125
Ochai Agbaji	O 15.5  −130	U 15.5  +100	Shai Gilgeous-Alexander	O 4.5  −155	U 4.5  +125	PLAYER	OVER	UNDER	Shai Gilgeous-Alexander	O 0.5  −150	U 0.5  +120
Shai Gilgeous-Alexander	O 32.5  −140	U 32.5  +110	Talen Horton-Tucker	O 5.5  −155	U 5.5  +125	Chris Paul	O 9.5  +105	U 9.5  −135	Talen Horton-Tucker	O 1.5  −140	U 1.5  +110
Talen Horton-Tucker	O 24.5  −115	U 24.5  −115	DEN NuggetsatPHO SunsTODAY 10:00PM			Devin Booker	O 5.5  +110	U 5.5  −140	DEN NuggetsatPHO SunsTODAY 10:00PM		
DEN NuggetsatPHO SunsTODAY 10:00PM			PLAYER	OVER	UNDER	Kevin Durant	O 4.5  +130	U 4.5  −160	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	Chris Paul	O 3.5  −135	U 3.5  +105				Chris Paul	O 1.5  +100	U 1.5  −130
Chris Paul	O 12.5  −110	U 12.5  −120	Deandre Ayton	O 9.5  −110	U 9.5  −120				Deandre Ayton	O 0.5  +1300	U 0.5  −4000
Deandre Ayton	O 14.5  −125	U 14.5  −105	Devin Booker	O 4.5  −115	U 4.5  −115				Devin Booker	O 1.5  −160	U 1.5  +130
Devin Booker	O 26.5  −115	U 26.5  −115	Josh Okogie	O 3.5  −150	U 3.5  +120				Josh Okogie	O 0.5  −210	U 0.5  +170
Josh Okogie	O 8.5  −120	U 8.5  −110	Kevin Durant	O 5.5  −145	U 5.5  +115				Kevin Durant	O 1.5  −145	U 1.5  +115
Kevin Durant	O 25.5  −110	U 25.5  −120									
