MIA HeatatWAS WizardsTODAY 7:10PM			MIA HeatatWAS WizardsTODAY 7:10PM			MIA HeatatWAS WizardsTODAY 7:10PM			MIA HeatatWAS WizardsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Corey Kispert	O 15.5  −115	U 15.5  −115	Corey Kispert	O 3.5  −120	U 3.5  −110	Johnny Davis	O 2.5  −160	U 2.5  +130	Corey Kispert	O 3.5  +135	U 3.5  −165
Daniel Gafford	O 11.5  −105	U 11.5  −125	Daniel Gafford	O 7.5  −105	U 7.5  −125	HOU RocketsatCHA HornetsTODAY 7:10PM			Johnny Davis	O 1.5  −145	U 1.5  +115
Johnny Davis	O 16.5  −110	U 16.5  −120	Johnny Davis	O 5.5  −120	U 5.5  −110	PLAYER	OVER	UNDER	HOU RocketsatCHA HornetsTODAY 7:10PM		
HOU RocketsatCHA HornetsTODAY 7:10PM			HOU RocketsatCHA HornetsTODAY 7:10PM			Alperen Sengun	O 4.5  +105	U 4.5  −135	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Bryce McGowens	O 2.5  +110	U 2.5  −140	Alperen Sengun	O 0.5  +260	U 0.5  −335
Alperen Sengun	O 16.5  −120	U 16.5  −110	Alperen Sengun	O 10.5  −140	U 10.5  +110	Jalen Green	O 4.5  +135	U 4.5  −165	Bryce McGowens	O 1.5  −120	U 1.5  −110
Bryce McGowens	O 12.5  −105	U 12.5  −125	Bryce McGowens	O 3.5  −120	U 3.5  −110	Kevin Porter Jr.	O 6.5  +100	U 6.5  −130	Jabari Smith	O 1.5  +115	U 1.5  −145
Jabari Smith	O 14.5  −130	U 14.5  +100	Jabari Smith	O 9.5  −110	U 9.5  −120	Svi Mykhailiuk	O 4.5  +105	U 4.5  −135	Jalen Green	O 2.5  +110	U 2.5  −140
