Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
bradley beal,23,4,7,2,1,1,1,home,tor
chris boucher,7,5,2,1,1,1,1,away,wsh
corey kispert,7,3,2,2,1,1,1,home,tor
daniel gafford,10,7,2,1,2,1,1,home,tor
delon wright,9,4,5,1,1,2,1,home,tor
deni avidja,9,6,2,1,1,1,1,home,tor
fred vanvleet,19,5,7,3,1,2,1,away,wsh
gary trent jr,15,3,2,3,1,2,1,away,wsh
jakob poeltl,12,9,3,1,2,1,1,away,wsh
kristaps porzingis,23,8,3,2,2,1,1,home,tor
kyle kuzma,22,7,4,3,1,1,1,home,tor
og anunoby,14,5,2,2,1,2,1,away,wsh
pascal siakam,24,7,5,2,1,1,1,away,wsh
precious achiuwa,7,5,2,1,1,1,1,away,wsh
scottie barnes,15,7,4,1,1,1,1,away,wsh
christian wood,14,6,2,2,1,1,1,home,phi
deanthony melton,8,3,2,2,1,1,1,away,dal
james harden,22,6,11,3,1,2,1,away,dal
joel embiid,33,11,4,1,2,1,1,away,dal
kyrie irving,24,5,6,3,1,1,1,home,phi
luka doncic,32,8,7,3,1,1,1,home,phi
reggie bullock,7,3,2,2,1,1,1,home,phi
tobias harris,14,5,3,2,1,1,1,away,dal
tyrese maxey,17,3,3,2,1,1,1,away,dal
pj tucker,10,5,2,1,1,1,1,away,dal
aaron nesmith,11,4,2,2,1,1,1,away,sas
buddy hield,16,5,3,4,1,2,1,away,sas
devin vassell,15,4,3,2,1,1,1,home,ind
jeremy sochan,16,7,3,1,1,1,1,home,ind
myles turner,21,10,2,2,3,1,1,away,sas
tre jones,13,4,5,1,1,1,1,home,ind
zach collins,15,8,4,1,1,1,1,home,ind
anthony lamb,8,4,2,1,1,1,1,home,lac
donte divincenzo,13,5,4,3,1,2,1,home,lac
draymond green,10,8,7,1,1,2,1,home,lac
jonathan kuminga,11,4,2,1,1,1,1,home,lac
jordan poole,25,4,5,3,1,1,1,home,lac
kawhi leonard,26,6,4,3,1,2,1,away,gsw
kevon looney,9,11,3,1,1,1,1,home,lac
klay thompson,26,5,3,5,1,1,1,home,lac
paul george,23,6,5,3,1,2,1,away,gsw
russell westbrook,16,6,8,2,1,1,1,away,gsw
ty jerome,8,2,3,1,1,1,1,home,lac
