MEM GrizzliesatMIA HeatTODAY 7:40PM	OVER	UNDER	MEM GrizzliesatMIA HeatTODAY 7:40PM			MEM GrizzliesatMIA HeatTODAY 7:40PM			MEM GrizzliesatMIA HeatTODAY 7:40PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Bam Adebayo	O 18.5  −110	U 18.5  −120	Bam Adebayo	O 8.5  −130	U 8.5  +100	Bam Adebayo	O 3.5  +120	U 3.5  −150	Desmond Bane	O 2.5  −155	U 2.5  +125
Desmond Bane	O 22.5  −130	U 22.5  +100	Desmond Bane	O 5.5  +115	U 5.5  −145	Desmond Bane	O 5.5  +110	U 5.5  −140	Dillon Brooks	O 1.5  −190	U 1.5  +155
Dillon Brooks	O 14.5  −110	U 14.5  −120	Dillon Brooks	O 3.5  +135	U 3.5  −165	Dillon Brooks	O 2.5  −120	U 2.5  −110	Jaren Jackson Jr.	O 1.5  −105	U 1.5  −125
Jaren Jackson Jr.	O 17.5  −115	U 17.5  −115	Jaren Jackson Jr.	O 6.5  −135	U 6.5  +105	Jimmy Butler	O 4.5  −135	U 4.5  +105	Jimmy Butler	O 0.5  +115	U 0.5  −145
Jimmy Butler	O 23.5  −125	U 23.5  −105	Jimmy Butler	O 6.5  −120	U 6.5  −110	Tyler Herro	O 3.5  −165	U 3.5  +135	Luke Kennard	O 1.5  −110	U 1.5  −120
Luke Kennard	O 6.5  −120	U 6.5  −110	Luke Kennard	O 2.5  +155	U 2.5  −190	Tyus Jones	O 6.5  −150	U 6.5  +120	Santi Aldama	O 0.5  −235	U 0.5  +190
Santi Aldama	O 9.5  −105	U 9.5  −125	Santi Aldama	O 4.5  −110	U 4.5  −120	Xavier Tillman	O 2.5  +120	U 2.5  −150	Tyler Herro	O 2.5  −125	U 2.5  −105
Tyler Herro	O 19.5  −110	U 19.5  −120	Tyler Herro	O 5.5  +100	U 5.5  −130	PHI 76ersatCLE CavaliersTODAY 7:40PM			Tyus Jones	O 1.5  −150	U 1.5  +120
Tyus Jones	O 13.5  −130	U 13.5  +100	Tyus Jones	O 3.5  +110	U 3.5  −140	PLAYER	OVER	UNDER	Xavier Tillman	O 0.5  +625	U 0.5  −1000
Xavier Tillman	O 9.5  −125	U 9.5  −105	Xavier Tillman	O 7.5  +120	U 7.5  −150	James Harden	O 10.5  +115	U 10.5  −145	PHI 76ersatCLE CavaliersTODAY 7:40PM		
PHI 76ersatCLE CavaliersTODAY 7:40PM			PHI 76ersatCLE CavaliersTODAY 7:40PM			Joel Embiid	O 3.5  −120	U 3.5  −110	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Tyrese Maxey	O 2.5  −130	U 2.5  +100	James Harden	O 2.5  +100	U 2.5  −130
James Harden	O 21.5  −105	U 21.5  −125	James Harden	O 5.5  −115	U 5.5  −115	BOS CelticsatMIN TimberwolvesTODAY 8:10PM			Joel Embiid	O 0.5  −175	U 0.5  +140
Joel Embiid	O 31.5  −115	U 31.5  −115	Joel Embiid	O 10.5  +110	U 10.5  −140	PLAYER	OVER	UNDER	P.J. Tucker	O 0.5  −130	U 0.5  +100
Tobias Harris	O 11.5  −115	U 11.5  −115	P.J. Tucker	O 3.5  −110	U 3.5  −120	Al Horford	O 2.5  −150	U 2.5  +120	Tobias Harris	O 1.5  +145	U 1.5  −180
