Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
cole anthony,11,5,4,1,1,1,1,away,cha
dennis smith jr,10,4,7,1,1,1,1,home,orl
franz wagner,18,5,3,2,1,1,1,away,cha
gary harris,8,2,2,2,1,1,1,away,cha
gordon hayward,17,5,6,2,1,1,1,home,orl
jalen suggs,10,4,3,2,1,1,1,away,cha
kelly oubre jr,24,7,2,4,1,1,1,home,orl
mark williams,12,10,2,1,1,1,1,home,orl
markelle fultz,15,5,6,1,1,1,1,away,cha
moritz wagner,10,4,2,1,1,1,1,away,cha
nick richards,8,7,2,1,1,1,1,home,orl
paolo banchero,21,8,4,1,1,1,1,away,cha
terry rozier,24,5,7,4,1,1,1,home,orl
wendell carter jr,16,11,3,2,1,1,1,away,cha
al horford,10,6,3,2,1,1,1,home,bkn
cameron johnson,16,4,2,3,1,1,1,away,bos
cameron thomas,15,3,3,2,1,1,1,away,bos
derrick white,12,3,3,2,1,1,1,home,bkn
dorian finney smith,8,5,2,2,1,1,1,away,bos
jaylen brown,25,6,3,3,1,1,1,home,bkn
jayson tatum,29,9,6,3,1,1,1,home,bkn
malcolm brogdan,12,4,3,2,1,1,1,home,bkn
marcus smart,12,4,5,2,1,1,1,home,bkn
mikal bridges,21,5,4,2,1,1,1,away,bos
nicolas claxton,10,9,2,1,1,1,1,away,bos
robert williams,9,10,2,1,1,1,1,home,bkn
royce oneal,7,4,3,2,1,1,1,away,bos
spencer dinwiddie,19,4,7,3,1,1,1,away,bos
bogdan bogdanovic,13,3,3,3,1,1,1,home,por
cam reddish,14,3,2,2,1,1,1,away,atl
clint capela,12,11,2,1,1,1,1,home,por
damian lillard,37,6,8,5,1,1,1,away,atl
deandre hunter,15,4,2,2,1,1,1,home,por
dejounte murray,20,6,6,2,1,1,1,home,por
drew eubanks,8,7,2,1,1,1,1,away,atl
jerami grant,23,6,3,3,1,1,1,away,atl
john collins,12,6,2,1,1,1,1,home,por
matisse thybulle,9,4,2,2,1,1,1,away,atl
nassir little,8,4,2,2,1,1,1,away,atl
onyeka okongwu,8,6,2,1,1,1,1,home,por
saddiq bey,12,5,2,2,1,1,1,home,por
shaedon sharpe,9,3,2,2,1,1,1,away,atl
trae young,27,3,11,3,1,1,1,home,por
trendon watford,8,5,3,1,1,1,1,away,atl
alex caruso,7,4,3,1,1,1,1,home,phx
chris paul,12,4,10,2,1,1,1,away,chi
coby white,10,3,3,2,1,1,1,home,phx
deandre ayton,18,11,2,1,1,1,1,away,chi
demar derozan,22,4,5,1,1,1,1,home,phx
devin booker,25,5,6,3,1,1,1,away,chi
kevin durant,22,6,3,2,1,1,1,away,chi
nikola vucevic,18,12,3,2,1,1,1,home,phx
patrick beverley,7,4,3,1,1,1,1,home,phx
patrick williams,9,4,2,1,1,1,1,home,phx
zach lavine,25,4,4,3,1,1,1,home,phx
bam adebayo,19,8,3,1,1,1,1,home,nyk
gabe vincent,12,3,3,2,1,1,1,home,nyk
immanuel quickley,13,4,3,2,1,1,1,away,mia
jalen brunson,25,4,6,3,1,1,1,away,mia
josh hart,9,6,3,1,1,1,1,away,mia
julius randle,26,9,4,4,1,1,1,away,mia
mitchell robinson,8,9,2,1,1,1,1,away,mia
quentin grimes,8,3,2,2,1,1,1,away,mia
rj barrett,17,4,3,2,1,1,1,away,mia
tyler herro,21,5,5,3,1,1,1,home,nyk
isaiah joe,15,3,2,3,1,1,1,home,uta
jalen williams,18,5,5,2,1,1,1,home,uta
josh giddey,19,8,8,1,1,1,1,home,uta
kelly olynyk,13,7,4,2,1,1,1,away,okc
lauri markkanen,30,9,3,4,1,1,1,away,okc
luguentz dort,18,5,3,3,1,1,1,home,uta
talen horton tucker,17,5,6,2,1,1,1,away,okc
walker kessler,12,12,2,1,1,1,1,away,okc
aaron gordon,16,7,3,1,1,1,1,home,mem
brandon clarke,9,6,2,1,1,1,1,away,den
desmond bane,21,5,4,3,1,1,1,away,den
dillon brooks,12,3,2,2,1,1,1,away,den
ja morant,27,7,9,2,1,1,1,away,den
jamal murray,22,4,7,3,1,1,1,home,mem
jaren jackson jr,17,7,2,2,1,1,1,away,den
kentavious caldwell pope,11,3,3,2,1,1,1,home,mem
luke kennard,7,2,2,2,1,1,1,away,den
michael porter jr,17,5,2,3,1,1,1,home,mem
nikola jokic,24,13,10,1,1,1,1,home,mem
santi aldama,8,4,2,2,1,1,1,away,den
tyus jones,7,2,4,1,1,1,1,away,den
xavier tillman,8,7,2,1,1,1,1,away,den
deaaron fox,28,5,7,2,1,1,1,home,lac
domantas sabonis,19,13,7,1,1,1,1,home,lac
harrison barnes,15,5,2,2,1,1,1,home,lac
keegan murray,13,6,2,3,1,1,1,home,lac
kevin huerter,14,4,3,3,1,1,1,home,lac
paul george,26,6,5,3,1,1,1,away,sac
russell westbrook,18,6,7,2,1,1,1,away,sac
brandon ingram,27,7,6,2,1,1,1,away,gsw
cj mccollum,23,5,6,3,1,1,1,away,gsw
donte divincenzo,12,5,4,3,1,1,1,home,nop
draymond green,9,8,7,1,1,1,1,home,nop
herbert jones,10,5,2,1,1,1,1,away,gsw
jonathan kuminga,11,4,2,1,1,1,1,home,nop
jordan poole,25,4,5,3,1,1,1,home,nop
kevon looney,9,11,3,1,1,1,1,home,nop
klay thompson,25,5,3,5,1,1,1,home,nop
naji marshall,9,5,3,1,1,1,1,away,gsw
trey murphy iii,14,4,2,3,1,1,1,away,gsw
anthony davis,28,13,4,1,1,1,1,home,nop
anthony edwards,28,6,4,3,1,1,1,away,lal
dennis schroder,16,4,8,2,1,1,1,home,nop
jaden mcdaniels,13,4,2,2,1,1,1,away,lal
jarred vanderbilt,9,9,3,1,1,1,1,home,nop
kyle anderson,11,6,5,1,1,1,1,away,lal
malik beasley,16,4,3,4,1,1,1,home,nop
mike conley,11,3,7,2,1,1,1,away,lal
rudy gobert,14,12,2,1,1,1,1,away,lal
troy brown jr,9,5,2,2,1,1,1,home,nop
