ATL HawksatWAS WizardsTODAY 7:10PM			ATL HawksatWAS WizardsTODAY 7:10PM			ATL HawksatWAS WizardsTODAY 7:10PM			ATL HawksatWAS WizardsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Bradley Beal	O 24.5  −115	U 24.5  −115	Bradley Beal	O 4.5  −125	U 4.5  −105	Bradley Beal	O 5.5  −150	U 5.5  +120	Bradley Beal	O 1.5  −110	U 1.5  −120
Clint Capela	O 11.5  −115	U 11.5  −115	Clint Capela	O 10.5  +100	U 10.5  −130	Dejounte Murray	O 5.5  +120	U 5.5  −150	De'Andre Hunter	O 1.5  +120	U 1.5  −150
Daniel Gafford	O 9.5  +105	U 9.5  −135	Daniel Gafford	O 6.5  −110	U 6.5  −120	Kristaps Porzingis	O 2.5  −120	U 2.5  −110	Dejounte Murray	O 1.5  −130	U 1.5  +100
De'Andre Hunter	O 14.5  −115	U 14.5  −115	De'Andre Hunter	O 3.5  −135	U 3.5  +105	Kyle Kuzma	O 3.5  +135	U 3.5  −165	John Collins	O 0.5  −115	U 0.5  −115
Dejounte Murray	O 19.5  −125	U 19.5  −105	Dejounte Murray	O 4.5  −140	U 4.5  +110	Trae Young	O 9.5  +110	U 9.5  −140	Kristaps Porzingis	O 1.5  −175	U 1.5  +140
John Collins	O 10.5  +100	U 10.5  −130	John Collins	O 4.5  +110	U 4.5  −140	POR Trail BlazersatBOS CelticsTODAY 7:40PM			Kyle Kuzma	O 2.5  −110	U 2.5  −120
Kristaps Porzingis	O 23.5  −105	U 23.5  −125	Kristaps Porzingis	O 8.5  −120	U 8.5  −110	PLAYER	OVER	UNDER	Trae Young	O 2.5  +150	U 2.5  −185
Kyle Kuzma	O 21.5  −115	U 21.5  −115	Kyle Kuzma	O 6.5  +125	U 6.5  −155	Al Horford	O 2.5  −120	U 2.5  −110	POR Trail BlazersatBOS CelticsTODAY 7:40PM		
Trae Young	O 25.5  −120	U 25.5  −110	Trae Young	O 2.5  −175	U 2.5  +140	Cam Reddish	O 2.5  +155	U 2.5  −190	PLAYER	OVER	UNDER
POR Trail BlazersatBOS CelticsTODAY 7:40PM			POR Trail BlazersatBOS CelticsTODAY 7:40PM			Damian Lillard	O 6.5  −115	U 6.5  −115	Al Horford	O 1.5  −175	U 1.5  +140
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Derrick White	O 3.5  −130	U 3.5  +100	Cam Reddish	O 1.5  −155	U 1.5  +125
Al Horford	O 9.5  −125	U 9.5  −105	Al Horford	O 6.5  −130	U 6.5  +100	Jaylen Brown	O 3.5  +140	U 3.5  −175	Damian Lillard	O 4.5  +105	U 4.5  −135
Cam Reddish	O 13.5  −115	U 13.5  −115	Cam Reddish	O 2.5  −140	U 2.5  +110	Jayson Tatum	O 5.5  +110	U 5.5  −140	Derrick White	O 1.5  −130	U 1.5  +100
Damian Lillard	O 34.5  −110	U 34.5  −120	Damian Lillard	O 5.5  +100	U 5.5  −130	Jerami Grant	O 2.5  +130	U 2.5  −160	Jaylen Brown	O 2.5  +105	U 2.5  −135
Derrick White	O 13.5  −125	U 13.5  −105	Derrick White	O 4.5  +110	U 4.5  −140	Marcus Smart	O 5.5  +115	U 5.5  −145	Jayson Tatum	O 2.5  −145	U 2.5  +115
Jaylen Brown	O 25.5  −125	U 25.5  −105	Jaylen Brown	O 7.5  −115	U 7.5  −115	CLE CavaliersatMIA HeatTODAY 7:40PM			Jerami Grant	O 1.5  −190	U 1.5  +155
Jayson Tatum	O 28.5  −125	U 28.5  −105	Jayson Tatum	O 9.5  −135	U 9.5  +105	PLAYER	OVER	UNDER	Marcus Smart	O 1.5  −155	U 1.5  +125
Jerami Grant	O 20.5  +105	U 20.5  −135	Jerami Grant	O 4.5  −115	U 4.5  −115	Bam Adebayo	O 3.5  +125	U 3.5  −155	Matisse Thybulle	O 1.5  +110	U 1.5  −140
Marcus Smart	O 11.5  −130	U 11.5  +100	Marcus Smart	O 3.5  −145	U 3.5  +115	Darius Garland	O 7.5  +120	U 7.5  −150	CLE CavaliersatMIA HeatTODAY 7:40PM		
Matisse Thybulle	O 7.5  −125	U 7.5  −105	Matisse Thybulle	O 3.5  −130	U 3.5  +100	Donovan Mitchell	O 4.5  +115	U 4.5  −145	PLAYER	OVER	UNDER
CLE CavaliersatMIA HeatTODAY 7:40PM			CLE CavaliersatMIA HeatTODAY 7:40PM			Gabe Vincent	O 2.5  +135	U 2.5  −165	Darius Garland	O 2.5  −140	U 2.5  +110
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Jimmy Butler	O 5.5  +125	U 5.5  −155	Donovan Mitchell	O 3.5  −120	U 3.5  −110
Bam Adebayo	O 18.5  −120	U 18.5  −110	Bam Adebayo	O 8.5  −140	U 8.5  +110	Tyler Herro	O 4.5  +110	U 4.5  −140	Evan Mobley	O 0.5  +190	U 0.5  −235
Darius Garland	O 19.5  −120	U 19.5  −110	Darius Garland	O 2.5  −115	U 2.5  −115	DAL MavericksatNO PelicansTODAY 7:40PM			Gabe Vincent	O 1.5  −115	U 1.5  −115
Donovan Mitchell	O 26.5  −120	U 26.5  −110	Donovan Mitchell	O 4.5  +115	U 4.5  −145	PLAYER	OVER	UNDER	Isaac Okoro	O 0.5  −150	U 0.5  +120
Evan Mobley	O 15.5  −115	U 15.5  −115	Evan Mobley	O 9.5  +115	U 9.5  −145	Brandon Ingram	O 5.5  +105	U 5.5  −135	Jimmy Butler	O 0.5  +150	U 0.5  −185
Gabe Vincent	O 8.5  −125	U 8.5  −105	Gabe Vincent	O 2.5  +155	U 2.5  −190	CJ McCollum	O 5.5  +105	U 5.5  −135	Tyler Herro	O 2.5  −120	U 2.5  −110
Isaac Okoro	O 6.5  +105	U 6.5  −135	Isaac Okoro	O 2.5  +120	U 2.5  −150	Herbert Jones	O 2.5  +105	U 2.5  −135	DAL MavericksatNO PelicansTODAY 7:40PM		
Jarrett Allen	O 13.5  +100	U 13.5  −130	Jarrett Allen	O 9.5  +100	U 9.5  −130	Kyrie Irving	O 6.5  −125	U 6.5  −105	PLAYER	OVER	UNDER
Jimmy Butler	O 21.5  −120	U 21.5  −110	Jimmy Butler	O 5.5  −135	U 5.5  +105	Luka Doncic	O 6.5  −135	U 6.5  +105	Brandon Ingram	O 1.5  +115	U 1.5  −145
Tyler Herro	O 18.5  −120	U 18.5  −110	Tyler Herro	O 4.5  −120	U 4.5  −110	CHI BullsatDEN NuggetsTODAY 9:10PM			CJ McCollum	O 2.5  +115	U 2.5  −145
DAL MavericksatNO PelicansTODAY 7:40PM			DAL MavericksatNO PelicansTODAY 7:40PM			PLAYER	OVER	UNDER	Herbert Jones	O 0.5  −115	U 0.5  −115
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Aaron Gordon	O 2.5  −145	U 2.5  +115	Jonas Valanciunas	O 0.5  +220	U 0.5  −280
Brandon Ingram	O 25.5  −140	U 25.5  +110	Brandon Ingram	O 5.5  +105	U 5.5  −135	DeMar DeRozan	O 4.5  −145	U 4.5  +115	Josh Green	O 1.5  +150	U 1.5  −185
